"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","BIO1016","Anatomie et physiologie I",NA
"2","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","FGCHXSOC2","GEN au choix",NA
"3","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","FRA1005","Français I",NA
"4","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1060","Théorie et pratique de la massothérapie",NA
"5","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1063","Pratique fondée sur les données probantes",NA
"6","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","SOC1010","Communication interpersonnelle",NA
"7","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","BIO1013","Anatomie et physiologie II",NA
"8","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1038","Théorie et pratique de la massothérapie II",NA
"9","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1039","Gymnastique corrective",NA
"10","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1042","Anatomie clinique I",NA
"11","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1058","Évaluation clinique",NA
"12","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1064","Fondements professionnels",NA
"13","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","BIO1030","Physiopathologie I",NA
"14","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","ENG1011","Professional Communication in English",NA
"15","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1044","Anatomie",NA
"16","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1067","Hydrothérapie et modalités",NA
"17","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1084","Massage thérapeutique de la région axiale",NA
"18","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","BIO1031","Physiopathologie II",NA
"19","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1068","Massage thérapeutique des membres supérieurs",NA
"20","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1069","Massage thérapeutique des membres inférieurs",NA
"21","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1071","Principes pharmacologiques",NA
"22","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1077","Fondements de gestion d'une pratique en massothérapie",NA
"23","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1073","Massothérapie systémique I",NA
"24","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1074","Massage systémique II",NA
"25","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1075","Clinique interne - Clinique I",NA
"26","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1079","Clinique sportive",NA
"27","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1080","Clinique externe I",NA
"28","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1076","Clinique interne - Clinique II",NA
"29","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1078","Passeport aux examens d'autorisation",NA
"30","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1081","Clinique gérontologique",NA
"31","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","La clinique gériatrique permet à l’étudiante ou à l’étudiant de se rendre sur les lieux pour perfectionner et adapter ses services de massothérapie auprès d’une clientèle vieillissante.",NA,NA
"32","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1082","Clinique externe II",NA
"33","Collège Boréal","Massothérapie","https://www.collegeboreal.ca//programmes/sante/mass-massotherapie","MAS1083","Clinique interprofessionnelle",NA
