"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","FRA1005","Français I",NA
"2","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","INF1078","Logiciels Microsoft",NA
"3","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MAT1026","Mathématiques pour métiers 1",NA
"4","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1014","Théorie mécanique I",NA
"5","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1015","Travail pratique",NA
"6","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","SOU1021","Introduction au soudage",NA
"7","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","TEC1000","Santé et sécurité",NA
"8","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","ENG1009","English in the workplace",NA
"9","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MEC1013","Usinage",NA
"10","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1017","Lecture de plans et dessins",NA
"11","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1019","Théorie en mécanique II",NA
"12","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1020","Travail pratique",NA
"13","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","SOU1022","Soudage II",NA
"14","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","FGCHXSOC2","GEN au choix",NA
"15","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MAT1027","Mathématiques pour métiers II",NA
"16","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1024","Design industriel I",NA
"17","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1025","Théorie en mécanique III",NA
"18","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1026","Travail pratique en mécanique II I",NA
"19","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1027","Hydraulique I et pneumatique",NA
"20","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1028","Électricité et automates",NA
"21","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","SOC1010","Communication interpersonnelle",NA
"22","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1029","Maintenance préventive",NA
"23","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1033","Hydraulique II",NA
"24","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1034","Automates programmables(PLC)",NA
"25","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1039","Théorie de conception de machine",NA
"26","Collège Boréal","Millwright","https://www.collegeboreal.ca//programmes/metiers/minq-techniques-du-genie-mecanique-mecanicien-monteur-industriel-(millwright)","MMI1040","Travail pratique de conception de machine",NA
