"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","CAA1008","Circuits d’alimentation en carburant I",NA
"2","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","FRA1005","Français I",NA
"3","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1000","Moteurs I",NA
"4","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1001","Électricité I",NA
"5","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1014","Pratiques professionnelles et sécuritaires",NA
"6","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","SOU1021","Introduction au soudage",NA
"7","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","ENG1009","English in the workplace",NA
"8","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1003","Hydraulique I",NA
"9","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1004","Électricité et électronique",NA
"10","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1005","Systèmes d'entraînement I",NA
"11","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1006","Systèmes de direction, de suspension et de freinage",NA
"12","Collège Boréal","Mécanique de la machinerie lourde","https://www.collegeboreal.ca//programmes/metiers/meml-mecanique-de-la-machinerie-lourde","MML1012","Détermination de défaillance des pièces",NA
