"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","EDP1221","La grammaire du français","This course is aimed at all persons who, in their professional or private life, feel the need to improve their ability to express themselves in oral and written French. Through letters and other business communications proposed by the students, various writing techniques are discussed and essential grammar rules for the mastery of the French language are further studied. Course offered in French."
"2","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","EDP1308","Les anglicismes","Students learn to identify, avoid and correct anglicisms in order to improve the quality of their communications. This course helps students avoid certain difficulties that are due to the influence of English. The aim is to detect anglicisms and to replace them with the equivalent French term. Course offered in French."
"3","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","FRA1002","Communication administrative -Affaires","En plus de perfectionner ses techniques de rédaction, l’étudiante ou l’étudiant développe davantage ses aptitudes d’écoute. Ces techniques sont appliquées à la prise de notes afin de rédiger et de mettre en forme les documents concernant les réunions. De plus, le cours traite du vocabulaire et des procédures des assemblées délibérantes. Enfin, on apprend les techniques et les étapes de rédaction d’un rapport en analysant une situation pratique reliée au monde des affaires.Course offered in French"
"4","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","FRA1005","Français I","This course allows students to improve their aptitudes in oral and written communication. The focus is communication techniques related to the student’s area of study. The organisation of thoughts, the art of expression, reading and the quality of language are the basic elements of this course. Through oral and written Learning activities, students are encouraged to promote and affirm their Francophone identity as they perfect their oral and written communication skills.Course offered in French"
"5","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","FRA1006","Français II","This course allows students to apply their knowledge and linguistic abilities in various situations to respond to new needs and solve problems. The organisation of thoughts, the art of expression, reading and the quality of language are the basic elements of this course.Course offered in French"
"6","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","Cours aux choix",NA,NA
"7","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","Code",NA,NA
"8","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","TOX1000","Concepts fondamentaux en toxicomanie","This course presents fundamental concepts related to addiction and dependency. Students familiarize themselves with models of consumption, stages of dependency, drug classification and the risks related to addiction. Moreover, the students are expected to reflect and develop their critical thinking on the realities of persons who are dealing with dependency and compulsive gambling."
"9","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","DRO1000","Droit des affaires","Ce cours offre une formation de base de droit commercial. L’étude du contrat constitue un élément important de ce cours. On étudie également les structures juridiques des entreprises commerciales, la responsabilité civile ainsi que les lois et règlements à respecter lors du démarrage de l’entreprise.Course offered in French"
"10","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","ENG1003","English Communications I","This course introduces students to applied communication and concentrates on the development of speaking, listening, reading, writing and thinking skills. The language skills developed in the course are useful to students in a college and are designed to develop confidence in English-language oral and written expression."
"11","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","PSY1002","Introduction à la psychologie","This course allows students to develop their knowledge of human behaviour. It provides an introduction to basic psychological concepts and theories. Topics discussed include affectivity, states of consciousness, psychological development, sensations and perceptions, learning, memory, motivation, developmental psychology, psychopathology, personality and the psychology of health. Course offered in French."
"12","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","SOC1001","Introduction à la sociologie","This course allows students to increase their knowledge and understanding of the links and relations between the individual and society. Using sociological concepts and perspectives, students recognize that society plays a major role in individual decision-making and, consequently, in individual behaviour. This course provides an introduction to current theories and certain sociological phenomena, including the nature of sociology; the role of socialization in the development and integration of the individual in society; the means society uses to exert social control; concepts of cultures and sub-cultures; various groups and organizations; and inequalities, minorities and social classes. These topics allow practitioners to gain a more adequate perspective on clients, to see beyond appearances and to better understand their situation. Course offered in French."
"13","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","TOX1000","Concepts fondamentaux en toxicomanie","This course presents fundamental concepts related to addiction and dependency. Students familiarize themselves with models of consumption, stages of dependency, drug classification and the risks related to addiction. Moreover, the students are expected to reflect and develop their critical thinking on the realities of persons who are dealing with dependency and compulsive gambling."
"14","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","DRO1000","Droit des affaires","Ce cours offre une formation de base de droit commercial. L’étude du contrat constitue un élément important de ce cours. On étudie également les structures juridiques des entreprises commerciales, la responsabilité civile ainsi que les lois et règlements à respecter lors du démarrage de l’entreprise.Course offered in French"
"15","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","ENG1003","English Communications I","This course introduces students to applied communication and concentrates on the development of speaking, listening, reading, writing and thinking skills. The language skills developed in the course are useful to students in a college and are designed to develop confidence in English-language oral and written expression."
"16","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","PSY1002","Introduction à la psychologie","This course allows students to develop their knowledge of human behaviour. It provides an introduction to basic psychological concepts and theories. Topics discussed include affectivity, states of consciousness, psychological development, sensations and perceptions, learning, memory, motivation, developmental psychology, psychopathology, personality and the psychology of health. Course offered in French."
"17","Collège Boréal","Perfectionnement du français","http://continue.collegeboreal.ca/programmes/perfectionnement-du-francais-2/","SOC1001","Introduction à la sociologie","This course allows students to increase their knowledge and understanding of the links and relations between the individual and society. Using sociological concepts and perspectives, students recognize that society plays a major role in individual decision-making and, consequently, in individual behaviour. This course provides an introduction to current theories and certain sociological phenomena, including the nature of sociology; the role of socialization in the development and integration of the individual in society; the means society uses to exert social control; concepts of cultures and sub-cultures; various groups and organizations; and inequalities, minorities and social classes. These topics allow practitioners to gain a more adequate perspective on clients, to see beyond appearances and to better understand their situation. Course offered in French."
