"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","BIO1016",NA,NA
"2","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","FGCHXSOC2",NA,NA
"3","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","FRA1005",NA,NA
"4","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1060",NA,NA
"5","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1063",NA,NA
"6","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","SOC1010",NA,NA
"7","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","BIO1013",NA,NA
"8","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1038",NA,NA
"9","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1039",NA,NA
"10","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1042",NA,NA
"11","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1058",NA,NA
"12","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1064",NA,NA
"13","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","BIO1030",NA,NA
"14","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","ENG1011",NA,NA
"15","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1044",NA,NA
"16","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1067",NA,NA
"17","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1084",NA,NA
"18","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","BIO1031",NA,NA
"19","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1068",NA,NA
"20","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1069",NA,NA
"21","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1071",NA,NA
"22","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1077",NA,NA
"23","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1073",NA,NA
"24","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1074",NA,NA
"25","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1075",NA,NA
"26","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1079",NA,NA
"27","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1080",NA,NA
"28","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1076",NA,NA
"29","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1078",NA,NA
"30","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1081",NA,NA
"31","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","La clinique gériatrique permet à l’étudiante ou à l’étudiant de se rendre sur les lieux pour perfectionner et adapter ses services de massothérapie auprès d’une clientèle vieillissante.",NA,NA
"32","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1082",NA,NA
"33","Collège Boréal","Pharmaceutique","https://www.collegeboreal.ca/","MAS1083",NA,NA
