"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","FRA1005","Français I",NA
"2","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1000","Outils et appareils",NA
"3","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1001","Santé et sécurité en milieu de construction",NA
"4","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1002","Principes du dessin technique",NA
"5","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1003","Matériaux de construction",NA
"6","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1004","Évaluation et organisation du chantier de travail",NA
"7","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","SOU1021","Introduction au soudage",NA
"8","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","CTN1020","Dessin assisté par ordinateur I (2D)",NA
"9","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","ENG1009","English in the workplace",NA
"10","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1007","Construction de charpentes",NA
"11","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1008","Gestion de l'énergie",NA
"12","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1009","Finition intérieure et extérieure en charpenterie",NA
"13","Collège Boréal","Pratique de la charpenterie et de la rénovation","https://www.collegeboreal.ca//programmes/metiers/pcch-pratique-de-la-charpenterie-et-de-la-renovation","PCC1010","Installation de portes/fenêtres/ferrures",NA
