"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGR1017","Machineries de semis et d'entretien des cultures I",NA
"2","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","Ce cours permet à l’étudiante ou l’étudiant d’identifier les composantes des tracteurs ainsi que d’une gamme de machineries et d’équipements utilisés à diverses fins agricoles. Les notions acquises permettent à la technicienne ou au technicien agricole de faire un choix éclairé des machineries pertinentes pour répondre à divers besoins d’entreprises agricoles. De plus, on s’initie aux nouvelles technologies, dont celles reliées à l’agriculture de précision.",NA,NA
"3","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGR1018","Botanique appliquée de base",NA
"4","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","Ce cours traite des structures, des fonctions fondamentales, de la croissance et de la reproduction des plantes. Il permet à l’étudiante ou à l’étudiant de déterminer la catégorie d’appartenance de divers végétaux, de classer les plantes à usage agricoles ainsi que de faire l’analyse de l’anatomie la morphologie et la physiologie des plantes pour en faire une gestion efficace.",NA,NA
"5","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGR1019","Principes de base en zootechnie",NA
"6","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","Ce cours traite des concepts fondamentaux qui permettent à l’étudiante ou à l’étudiant de comparer les principaux systèmes de l’anatomie des monogastriques, des polygastriques et de la volaille. Ces notions permettent à l’étudiante ou l’étudiant de comprendre la physiologie animale et d’appliquer des principes liés à la nutrition, à la reproduction et à la génétique des élevages commerciaux.",NA,NA
"7","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGR1020","Analyses de sols agricoles",NA
"8","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","Ce cours théorique et pratique comprend l’étude de l’origine des sols, leur composition, leur classification et leurs différentes propriétés. Ces notions permettent à l’étudiante ou l’étudiant de faire des choix éclairés de production en lien avec le sol, de choisir les amendements nécessaires et calculer les doses requises à épandre.",NA,NA
"9","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGR1024","Économie et politiques agricoles",NA
"10","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","",NA,NA
"11","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGR1033","Chiffrier électronique en entreprise agricole",NA
"12","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","FRA1005","Français I",NA
"13","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","GEN1046","Énergies vertes",NA
"14","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","AGA1000","Plantes fourragères et céréales",NA
"15","Collège Boréal","Pratiques agricoles","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/prag-pratiques-agricoles","Ce cours permet à l’étudiante ou l’étudiant de connaître les bonnes pratiques agricoles pour la production de plantes fourragères légumineuses et graminées et pour les céréales à paille telles que le blé, l’orge et l’avoine. L’étude des concepts permet à l’étudiante ou l’étudiant de faire le choix des espèces et des cultivars, de calculer la fertilisation, de décrire les techniques de semis, de proposer des techniques appropriées de contrôle des mauvaises herbes et des ravageurs et de suggérer des méthodes de récolte et d’entreposage.",NA,NA
