"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1000","Gestion de bureau I",NA
"2","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1026","Traitement de texte I",NA
"3","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1027","Tenue de livres",NA
"4","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1028","Gestion des communications et des médias sociaux",NA
"5","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","FRA1005","Français I",NA
"6","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","SOC1010","Communication interpersonnelle",NA
"7","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1004","Traitement de texte II",NA
"8","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1006","Chiffrier électronique I",NA
"9","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1021","Gestion de bureau II",NA
"10","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1022","Automatisation des opérations comptables",NA
"11","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","ENG1011","Professional Communication in English",NA
"12","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","FRA1009","Perfectionner sa langue écrite",NA
"13","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","STG1026","Stage pratique - Bureau général",NA
"14","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1006","Chiffrier électronique I",NA
"15","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1026","Traitement de texte I",NA
"16","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1029","Gestion de bureau I - Partie 1",NA
"17","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","Ce cours traite du rôle et des responsabilités du personnel de bureau dans un environnement traditionnel ou informatisé. L’étudiante ou l’étudiant s’exerce à produire de l’information écrite qui respecte le protocole épistolaire. L’accent est mis sur la qualité de la production de documents d’affaires écrits et de la clavigraphie. Les séances de travail se font dans un environnement de bureau simulé afin de mettre en pratique les connaissances acquises.",NA,NA
"18","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1030","Gestion de bureau I - Partie 2",NA
"19","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","FRA1005","Français I",NA
"20","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1004","Traitement de texte II",NA
"21","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1027","Tenue de livres",NA
"22","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1031","Gestion de bureau II - Partie 1",NA
"23","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1032","Gestion de bureau II - Partie 2",NA
"24","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","SOC1010","Communication interpersonnelle",NA
"25","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1022","Automatisation des opérations comptables",NA
"26","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","BUR1028","Gestion des communications et des médias sociaux",NA
"27","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","ENG1011","Professional Communication in English",NA
"28","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","FRA1009","Perfectionner sa langue écrite",NA
"29","Collège Boréal","Pratiques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/gbur-pratiques-en-administration-de-bureau","STG1026","Stage pratique - Bureau général",NA
