"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","BIO1026","Anatomie et physiologie I",NA
"2","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","FRA1005","Français I",NA
"3","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSA1006","Mathématiques I",NA
"4","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSA1007","Chimie I",NA
"5","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSA1009","Exploration de carrières en santé",NA
"6","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","SAN1000","Terminologie médicale",NA
"7","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","BIO1027","Anatomie et physiologie II",NA
"8","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","ENG1011","Professional Communication in English",NA
"9","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSA1008","Chimie II - pré-collégial",NA
"10","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSA1010","Initiation à la recherche scientifique",NA
"11","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSA1016","Mathématiques II",NA
"12","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","PSY1002","Introduction à la psychologie",NA
"13","Collège Boréal","Présciences de la santé-voie vers les certificats et diplômes","https://www.collegeboreal.ca//programmes/sante/pscd-presciences-de-la-sante-voie-vers-les-certificats-et-diplomes","SOC1002","Diversité humaine",NA
