"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","BIO1016","Anatomie et physiologie I",NA
"2","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","ENG1009","English in the workplace",NA
"3","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","PSY1001","Développement de la personne",NA
"4","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1012","Soins du patient-Théorie I (Paramédicaux)",NA
"5","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1013","Laboratoire-évaluations et pratiques I (Paramédicaux)",NA
"6","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1026","Conditionnement physique pour le paramédic I",NA
"7","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1028","Lois et déontologie professionnelle",NA
"8","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","BIO1013","Anatomie et physiologie II",NA
"9","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","FGCHXGLOBAL","GEN au choix",NA
"10","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1016","Soins du patient-Théorie II(Paramédicaux)",NA
"11","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1017","Laboratoire-évaluations et pratiques II (Paramédicaux)",NA
"12","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1018","Interventions avancées pour les paramédics",NA
"13","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1021","Pharmacologie paramédicale",NA
"14","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1027","Conditionnement physique pour le paramédic II",NA
"15","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","STG1111","Stage pratique I - Soins paramédicaux",NA
"16","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","FRA1005","Français I",NA
"17","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1005","Interventions en situation de crises préhospitalières",NA
"18","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1008","Laboratoire-évaluations et pratique III",NA
"19","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1020","Soins du patient-théorie III",NA
"20","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","SPM1025","Activité physique préparatoire à l'emploi III",NA
"21","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","STG1112","Stage pratique II - Soins paramédicaux",NA
"22","Collège Boréal","Soins paramédicaux","https://www.collegeboreal.ca//programmes/sante/ambp-soins-paramedicaux","STG1037","Stage d'intégration - Soins paramédicaux",NA
