"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1000","Dessin d'exécution I",NA
"2","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","Ce cours introduit l’étudiante ou l’étudiant aux dessins techniques. Ce cours permet à l’étudiante ou l’étudiant de se familiariser aux techniques de communication graphique et aux notions géométriques élémentaires. Chacun applique leur technique de dessin pour la production de dessins résidentiels en ossature de bois.",NA,NA
"3","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1001","Conception architecturale I",NA
"4","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1002","Code du bâtiment - Partie 9",NA
"5","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1003","Méthodes et matériaux I",NA
"6","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1004","Mécanique appliquée statique",NA
"7","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1005","Histoire de l'architecture nord-américaine",NA
"8","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","FRA1005","Français I",NA
"9","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1006","Dessin d'exécution II",NA
"10","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1007","Conception architecturale II",NA
"11","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1008","Méthodes et matériaux II",NA
"12","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1010","Résistance des matériaux- Bois",NA
"13","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","Ce cours initie l’étudiante ou l’étudiant aux principes de base de la construction en bois pour être en mesure de concevoir, dessiner et calculer les éléments d'une charpente en bois simple conformément au CNBC. Les nouvelles initiatives de l’industrie du bois ainsi que celle du recyclage seront présentées.",NA,NA
"14","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ENG1009","English in the workplace",NA
"15","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","FGCHXSOC2","GEN au choix",NA
"16","Collège Boréal","Techniques d'architecture","https://www.collegeboreal.ca//programmes/metiers/artq-techniques-darchitecture","ARQ1011","Conception architecturale III",NA
