"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","BIO1022","Biologie I",NA
"2","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1016","Laboratoire",NA
"3","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1017","Santé et sécurité",NA
"4","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1018","Examen Clinique",NA
"5","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1019","Cosmétologie",NA
"6","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1020","Soins des mains",NA
"7","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1021","Soins des pieds",NA
"8","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1022","Soins du visage",NA
"9","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","FRA1005","Français I",NA
"10","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","ENG1009","English in the workplace",NA
"11","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1023","Maquillage",NA
"12","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1024","Épilation",NA
"13","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1026","Clinique d'esthétique I",NA
"14","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1027","Gestion quotidienne, consultations et ventes",NA
"15","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1028","Soins spécialisés du visage",NA
"16","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1030","Soins du corps I",NA
"17","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","FGCHXSANTEC","GEN au choix",NA
"18","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1031","Clinique d'esthétique II",NA
"19","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1034","Techniques d'application cosmétique",NA
"20","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","EST1035","Soins du corps II",NA
"21","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","GES1007","Introduction à l'entreprenariat",NA
"22","Collège Boréal","Techniques d'esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-desthetique","SOC1010","Communication interpersonnelle",NA
