"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","FRA1005","Français I",NA
"2","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1000","Introduction à la profession de techniques de soins vétérinaires",NA
"3","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1001","Initiation aux exercices cliniques",NA
"4","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1002","Hygiène et santé publique",NA
"5","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1037","Soins de base des animaux canins et félins",NA
"6","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1038","Anatomie et physiologie animale I",NA
"7","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1056","Gestion de refuge animal I",NA
"8","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1065","Éthologie animale",NA
"9","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","Ce cours permettra aux étudiantes et aux étudiants de se familiariser avec les éléments de base du comportement animal et les facteurs qui les influencent. Ils seront initiés au développement des comportements et ils apprendront à reconnaître les différentes étapes du développement des animaux domestiques. Ils apprendront également à discerner les différents problèmes de comportement animaux domestiques, leurs causes et à élaborer un plan de traitement incluant des techniques de modification du comportement. Ils se familiariseront également avec les notions d'apprentissage et d'éducation.",NA,NA
"10","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1072","Mathématiques pour Techniques de soins vétérinaires",NA
"11","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1076","Initiation aux logiciels vétérinaires spécialisés",NA
"12","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","ENG1011","Professional Communication in English",NA
"13","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1040","Anatomie et physiologie animale II",NA
"14","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1057","Gestion refuge animal II",NA
"15","Collège Boréal","Techniques de soins vétérinaires (ottawa)","https://www.collegeboreal.ca//programmes/sante/veaq-techniques-de-soins-veterinaires-ottawa","VET1058","Laboratoire-Hématologie et urologie",NA
