"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","FGCHXTSOC","GEN au choix",NA
"2","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","FRA1005","Français I",NA
"3","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","RAE1004","Stratégies pour réussir à son plein potentiel",NA
"4","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1000","Introduction au travail social",NA
"5","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1007","Éthique",NA
"6","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1008","Introduction à la relation d'aide",NA
"7","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1021","Ressources communautaires",NA
"8","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1025","Politiques sociales",NA
"9","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","ENG1011","Professional Communication in English",NA
"10","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1022","Croissance et développement de la personne",NA
"11","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","Ce cours amène l’étudiante et l’étudiant à pouvoir proposer des interventions permettant d’adresser des défis propres aux divers stades du développement humain. Pour ainsi faire, on traite des différentes étapes de la croissance depuis la conception jusqu’à la fin de l’âge adulte. On accorde une attention particulière au développement sur les plans physique, cognitif, affectif et social.",NA,NA
"12","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1024","Processus de groupe",NA
"13","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1026","Techniques d'entrevues",NA
"14","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1029","Travail social communautaire",NA
"15","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1030","La diversité et l'inclusion: sensibilisation et pratique",NA
"16","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1009","Techniques d'observation / d'enregistrements en TS",NA
"17","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1018","Séminaire de préparation en stage",NA
"18","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1019","Intervention familiale",NA
"19","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1020","Techniques d'intervention en Travail social",NA
"20","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1027","Intervention personne âgée",NA
"21","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","TRS1028","Intervention en santé mentale",NA
"22","Collège Boréal","Techniques de travail social","https://www.collegeboreal.ca//programmes/services-communautaires/tsoc-techniques-de-travail-social","STG1020","Stage de formation - Travail social",NA
