"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1018","Introduction à l'analyse des structures",NA
"2","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1019","Géométrie descriptive et dessin industriel",NA
"3","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1030","Lecture des bleus",NA
"4","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1033","Santé et sécurité en milieu de travail",NA
"5","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","INF1078","Logiciels Microsoft",NA
"6","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","MAT1006","Mathématiques appliquées I",NA
"7","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","PHY1000","Physique",NA
"8","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1020","Dessin assisté par ordinateur I (2D)",NA
"9","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1021","Mécanique des fluides",NA
"10","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1023","Topométrie et camp d'arpentage",NA
"11","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","FRA1005","Français I",NA
"12","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","MAT1007","Mathématiques appliquées II",NA
"13","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","MAT1023","Statistiques pour technologues",NA
"14","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1003","Résistance des matériaux et design fondamental",NA
"15","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1012","Impact environnemental",NA
"16","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1031","Génie municipal",NA
"17","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1034","Mécanique des sols",NA
"18","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","ENG1011","Professional Communication in English",NA
"19","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","FGCHXSOC2","GEN au choix",NA
"20","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","SOC1010","Communication interpersonnelle",NA
"21","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1007","Levé automatisé",NA
"22","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1010","Planification et gestion de projets",NA
"23","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1015","Dessin assisté par ordinateur II (3D)",NA
"24","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1024","Loi et contrats de travail",NA
"25","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1032","Design de structures civiles",NA
"26","Collège Boréal","Techniques du génie de la construction-civil","https://www.collegeboreal.ca//programmes/metiers/coci-techniques-du-genie-de-la-construction-civil","CTN1035","Méthodes et matériaux de construction",NA
