"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","FRA1005","Français I",NA
"2","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1035","Logiciels d'applications",NA
"3","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1039","Introduction aux algorithmes",NA
"4","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1040","Introduction à la réseautique",NA
"5","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1074","Systèmes d'exploitation et ordinateurs",NA
"6","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","MAT1018","Mathématiques informatiques",NA
"7","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","ENG1011","Professional Communication in English",NA
"8","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1021","Protocoles et concepts de routage",NA
"9","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1041","Introduction à l'administration des systèmes",NA
"10","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1042","Introduction à la programmation",NA
"11","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1043","Introduction",NA
"12","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1082","Appui et service technique",NA
"13","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","FGCHXGLOBAL","GEN au choix",NA
"14","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1006","Système de gestion de bases de données",NA
"15","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1023","Réseaux locaux et à distance",NA
"16","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1083","Développement d'applications",NA
"17","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","Dans ce cours, l’étudiant ou l’étudiante apprend à développer des applications afin de se familiariser avec un environnement de développement dans le but de mieux appuyer cette fonction en entreprise.",NA,NA
"18","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1084","Administration Windows",NA
"19","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1085","Administration Linux",NA
"20","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","FGCHXGLOBAL","GEN au choix",NA
"21","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1075","Technologies réseautiques avancés",NA
"22","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1076","Sécurité des réseaux I",NA
"23","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","Ce cours permettra à l’étudiant  d’explorer la gamme d’outils de sécurité des données sur un réseau. La configuration et la mise à jour d’un réseau et l’utilisation d’une variété d’outils logiciels et physique seront abordés afin de pouvoir sécuriser les données sur un serveur et sur un réseau.",NA,NA
"24","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1086","Administration de base de données",NA
"25","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1087","Administration d'infrastructure informatique 1",NA
"26","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1088","Gestion de projets informatiques",NA
"27","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1089","Programmation de systèmes",NA
"28","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","Ce cours est consacré à l’étude de la programmation avancée nécessaire à l’automatisation de diverses tâches reliées à l’administration de systèmes.  Plus d’un système d’exploitation sera à l’étude.",NA,NA
"29","Collège Boréal","Techniques du génie informatique","https://www.collegeboreal.ca//programmes/informatiques/ginq-techniques-du-genie-informatique","INF1090","Gestion des communications en informatique",NA
