"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1000","Gestion de bureau I",NA
"2","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1026","Traitement de texte I",NA
"3","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1027","Tenue de livres",NA
"4","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1028","Gestion des communications et des médias sociaux",NA
"5","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","FRA1005","Français I",NA
"6","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","SOC1010","Communication interpersonnelle",NA
"7","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1004","Traitement de texte II",NA
"8","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1006","Chiffrier électronique I",NA
"9","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1021","Gestion de bureau II",NA
"10","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1022","Automatisation des opérations comptables",NA
"11","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","ENG1011","Professional Communication in English",NA
"12","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","FRA1009","Perfectionner sa langue écrite",NA
"13","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","STG1026","Stage pratique - Bureau général",NA
"14","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1005","Base de données",NA
"15","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","Ce cours est une initiation aux concepts fondamentaux et aux fonctionnalités des systèmes de gestion de bases de données relationnelle (SGBDR), notamment Microsoft Access, et permet aux étudiants et aux étudiantes d’acquérir des techniques et les connaissances fondamentales afin de créer, gérer et exploiter une base de données.",NA,NA
"16","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1019","Gestion de projets de bureau",NA
"17","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1023","Chiffrier électronique II",NA
"18","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","ENG1012","Business Communications",NA
"19","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","FGCHXSOC2","GEN au choix",NA
"20","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","FRA1010","Présentations et écrits administratifs",NA
"21","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","GES1035","Appui à la gestion",NA
"22","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1010","Éditique",NA
"23","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","BUR1025","Certification MS",NA
"24","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","ENG1002","Administrative Communications",NA
"25","Collège Boréal","Techniques en administration de bureau","https://www.collegeboreal.ca//programmes/affaires/dbur-techniques-en-administration-de-bureau","STG1088","Stage pratique-Bureau de direction",NA
