"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","CPT1000","Comptabilité I - cycle comptable",NA
"2","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","FRA1005","Français I",NA
"3","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","GES1008","Introduction aux",NA
"4","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","GES1028","Principes de gestion",NA
"5","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","INF1080","Applications en affaires I",NA
"6","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","MAT1028","Mathématiques commerciales",NA
"7","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","MKT1000","Principes du marketing",NA
"8","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","COM1009","Microéconomie",NA
"9","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","CPT1001","Comptabilité II - entreprise commerciale",NA
"10","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","ENG1011","Professional Communication in English",NA
"11","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","FGCHXGLOBAL","GEN au choix",NA
"12","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","GES1015","Mathématiques financières",NA
"13","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","INF1081","Applications en affaires II",NA
"14","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","MKT1001","Marketing des produits et services",NA
"15","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","COM1008","Communications commerciales bilingues",NA
"16","Collège Boréal","Techniques en administration des affaires","https://www.collegeboreal.ca//programmes/affaires/aafq-techniques-en-administration-des-affaires","CPT1020","Macroéconomie",NA
