"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1159","Air Brake (Z) Endorsement","The Ontario Ministry of Transportation requires drivers of air brake equipped vehicles to have a Z endorsement on their license. The objectives of the course are to familiarize all air brake equipped vehicle operators with the workings of air brake systems, to increase safety awareness on Ontario’s highways and to reduce the number of accidents resulting from improper brake usage and maintenance."
"2","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1275","Lockout and Tagout (H&S)","The participant will know the importance of implementing a lockout program in the workplace as well the proper lockout and tagout procedures to be used. Legislation, types of energy, hazard identification, control methods, lockout equipment."
"3","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1284","Transportation of Dangerous Goods (H&S)","The participant will understand the responsibilities of handling dangerous goods, recognize the hazards associated with the transportation of such goods, be able to identify labels and placardsand fill in shipping documents. Version française EDA1271 en ligne"
"4","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1286","WHMIS","(H&S)"
"5","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1303","Confined Spaces (H&S)","At the end of this course, the participant will understand the confined space legislation; the hazard assessment requirements, recognize a confined space; understand and apply the procedures and safe work practices in the confined space plan."
"6","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1621","Heavy Equipment General Health and Safety Training","This course teaches the learner the safety measures and the workplace accident prevention procedures to follow on a construction, harvesting or other worksite and adhering to health and safety acts and regulations. The learner will familiarize himself/herself with the safety devices found on heavy equipment in order to develop safe working practices."
"7","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1622","Basic Soils and Environment","This course teaches the learner the knowledge, working techniques and the ability to distinguish the various types of aggregates used on a job site. The student will also learn how shrinks and swell factors affect equipment selection and how soil conditions affect equipment performance."
"8","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1623","Heavy Equipment Service and Maintenance","This course provides the equipment operator with a general understanding of basic service, maintenance, preventive maintenance, repairs and trouble shooting of heavy equipment. Also teaches the learner awareness and develop competency in the area of equipment in a safely manner. In addition to operating equipment and performing various operational tasks, the learner must also perform preventive maintenance of the machine in order to ensure good operating condition and the safety of his work colleagues."
"9","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1624","Heavy Equipment Machine Basic Operation","This course initiates the learner to heavy equipment used on site. This course allows the learner to know the requirements of the work of a heavy equipment operator. Also, this course allows the learner to recognize the types of equipment used on site. Further, this course demonstrates to the learner the importance of communications, the knowledge of aggregates and the basic principles of forest roads in doing the work of heavy equipment operator. Finally, this course allows the learner to put in perspective the role of a heavy equipment operator in the context of a construction site, logging operations and others."
"10","Collège Boréal","WHMIS","http://continue.collegeboreal.ca/programmes/melt-6-week-az-and-4-week-heavy-equipment-operator-2/","EDA1625","Heavy Equipment Operation Dozer Crawler","This course presents to the learner the description of a bulldozer, the gauges and instruments that ensure its control. This course demonstrates to the learner the techniques of operation of a bulldozer, safety rules that relate to it as well as preventive maintenance. The learner executes, under the supervision of the leader, all the tasks related to operation of a bulldozer."
