"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1000","Physique et instrumentation I",NA
"2","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1001","Échographie abdominale I",NA
"3","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1002","Échographie obstétrique et gynécologique I",NA
"4","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1005","Pratique en échographie I",NA
"5","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1010","Échographie des structures de surface",NA
"6","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1012","Imagerie, documentation et analyse I",NA
"7","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1013","Soins du client en échographie",NA
"8","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1006","Physique et instrumentation II",NA
"9","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1007","Échographie",NA
"10","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1008","Échographie obstétrique et gynécologique II",NA
"11","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1009","Échographie vasculaire",NA
"12","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1011","Pratique en échographie II",NA
"13","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1014","Imagerie, documentation et analyse",NA
"14","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","ECH1015","Echographie des structures musculosquelettiques",NA
"15","Collège Boréal","Échographie diagnostique - postdiplôme","https://www.collegeboreal.ca//programmes/sante/echo-echographie-diagnostique-postdiplome","STG1070","Stage clinique - Échographie",NA
