"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1002","Technologie en services à l'enfance",NA
"2","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1003","Le milieu familial et social de l'enfant",NA
"3","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1004","Sécurité, santé et nutrition en ESE",NA
"4","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1005","Développement de l'enfant I",NA
"5","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1006","Pédagogie axée sur le jeu",NA
"6","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1022","Milieux d'apprentissage en Ontario",NA
"7","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","FRA1005","Français I",NA
"8","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","PSY1002","Introduction à la psychologie",NA
"9","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ENG1009","English in the workplace",NA
"10","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1008","Curriculum éducatif",NA
"11","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1009","Développement de l'enfant II",NA
"12","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1026","Outils et techniques d'observation en ESE",NA
"13","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","SOC1010","Communication interpersonnelle",NA
"14","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","STG1116","Stage I - Orientation et initiation en ESE",NA
"15","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1012","Le développement psychomoteur de l'enfant",NA
"16","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1013","Méthodes d'intervention",NA
"17","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1028","Expériences de jeu : Poupons / bambins",NA
"18","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1029","Expériences de jeu : Préscolaires",NA
"19","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1030","Séminaire de synthèse et préparation de stage",NA
"20","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","STG1105","Stage II-Expérimentation en ESE",NA
"21","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1015","Gestion des services à l'enfance",NA
"22","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1016","Inclusion des enfants à besoins particuliers",NA
"23","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1024","Expériences de jeu : Âge scolaire",NA
"24","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1027","Protection de l'enfant",NA
"25","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1031","Croissance professionnelle",NA
"26","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","STG1106","Stage III-Intégration en ESE",NA
"27","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1002","Technologie en services à l'enfance",NA
"28","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1004","Sécurité, santé et nutrition en ESE",NA
"29","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1005","Développement de l'enfant I",NA
"30","Collège Boréal","Éducation en services à l'enfance","https://www.collegeboreal.ca//programmes/services-communautaires/geen-education-en-services-a-lenfance","ESE1006","Pédagogie axée sur le jeu",NA
