"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","ATST1010","Academic Upgrading","Description: This course will prepare students for entry into trades and apprenticeship."
"3","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","CDEV1240","Self Management/Self Direction (ACE)","Description: This course provides students with an opportunity to learn and use success strategies that can be applied to their academic, employment and personal life. The strategies will equip them with the knowledge, skills and behaviours to become effective, confident and flexible learners. The course will focus on areas such as self-reflection, critical thinking, goal setting, study skills, organizational skills, group dynamics and career/employment exploration.Hours: Credits: Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMM1250","Preparatory Communications-Options (ACE)","Description: This course prepares students for entry into all diploma, certificate, and some apprenticeship college programs."
"5","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMM1260","Preparatory Communications for Assessment","Description: This course enables students to establish their starting point in Preparatory Communications and to begin work on chosen topics."
"6","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMM1270","Preparatory Communications for College Diploma, Certificate and Apprenticeship","Description: This course prepares students for entry into all diploma, certificate, and some apprenticeship college programs."
"7","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMM1280","Preparatory Communications for Trades","Description: This course prepares students for entry into some apprenticeship and skills college programs."
"8","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMM1290","Preparatory Communications for GED","Description: This course will enable students to strengthen their communication skills of reading comprehension, Standard English conventions, and essay writing to prepare to write the GED test. Hours: Credits: Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMM1545","Communications Foundations","Description: This course provides an overview of fundamental reading and writing skills, culminating in the creation of five-paragraph essays. This course provides entry into COMM 1250 (Preparatory Communications – ACE) course and can also be used to aid in GED test preparation.Hours: 40Credits: Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMP1012","Computer Studies (ACE)","Description: This course provides students with a working knowledge of a Windows operating system, word processing software, spreadsheet software, and electronic communication to succeed in further studies and the world of work. Students will be able to create documents and navigate the Internet to conduct research and communicate in educational, workplace, and personal settings.Hours: Credits: Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","COMP1680","Preparatory Computer Skills","Description: This course provides students with a working knowledge of a Windows operating system, word processing software, spreadsheet software, and electronic communication to succeed in further studies and the world of work. Students will be able to create documents and navigate the Internet to conduct research and communicate in educational, workplace, and personal settings.Hours: Credits: Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Academic Upgrading","https://www.conestogac.on.ca/fulltime/academic-upgrading","MATH1000","Preparatory Mathematics for GED","Description: This course will enable students to successfully complete the mathematics section of the General Educational Development (GED) test. Topics are arithmetic, measurement and data analysis, algebra, and geometry.Hours: Credits: Pre-Requisites: CoRequisites:"
