"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","CHEM8000","Elementary Chemistry and Thermodynamics","Description: In this course students will be able to explain basic chemistry principles, basic types of matter and their properties, the principles of thermodynamics including the laws of thermodynamics and the modes of heat transfer, temperature and thermal expansion, specific, sensible and latent heat, thermodynamics of steam, steam tables, interpolation. Students will also perform heat calculations in metric and imperial measurement systems.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","ECON8060","Engineering Economics for Industry","Description: This course covers the basics of project investment and appraisal and selection required in an industrial environment. Topics include: time value of money; cash flow analysis; cost of capital; elements of cost & cost estimation; decision making among alternatives; break even analysis; effect of depreciation, taxes, replacement analysis, inflation and uncertainties and risk.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","ELEC8000","Electricity","Description: In this course students will learn the concepts of basic electricity and simple calculations using voltage, current, resistance and power. Ohm's law, basic principles of magnetism, the use of electrical metering devices, the operating principles of the various types of AC and DC motors and generators, and the operating principles, construction and maintenance of transformers will also be covered. Safe operation of all electrical equipment is also covered.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","MATH8030","Applied Math and Mechanics I","Description: This course will cover basic mathematical operations commonly used by energy managers involving fractions, decimals, percentages, manipulation of algebraic equations and formulas using SI and Imperial units. An emphasis will be placed on SI and Imperial units typically used by energy managers."
"7","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","MECH8070","Refrigeration and Air Conditioning","Description: In this course students will learn the operation, maintenance, and basic troubleshooting of vapor compression and absorption refrigeration systems and be able to identify the components found in these systems and their application."
"8","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","OHS8190","Safety in the Plant Environment","Description: Students will learn the general plant safety and common safety programs implemented in power, heating, pressure, and industrial plants including the significance of the Workplace Hazardous Materials Information System (WHMIS) for classification and labeling of controlled products, and use of Material Safety Data Sheets. Plant safety will be explored including the costs and effects of workplace injuries, requirement of personal protective equipment and isolation of mechanical and electrical equipment as well as the role of safety committees. Fire fundamentals and procedures, classification of fires and the types of extinguishing methods including use of potable fire extinguishers, their construction and operation are covered.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","QUAL8200","Principles of Lean Six Sigma","Description: This course will enable students to analyze and solve quality problems as part of a team using the complementary methodologies of Lean and Six Sigma. Through the application of a structured approach students will learn how to apply the principles of waste reduction and minimizing of defects in manufacturing and transactional processesHours: 56Credits: 4Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","QUAL8320","Quality, Strategy and Value Creation for Industry","Description: This course introduces the philosophy and guiding principles that represent the foundation of continuously improving an industrial organization. Students learn the roles of leadership, strategic planning and deployment to exceed customer expectations. Additional topics include the role of teams and associated processes to maximize profitability.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","Level 2","Level 2",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","MATH8040","Applied Mathematics and Mechanics II","Description: This Course will cover basic mathematics used in mensuration, measurement, linear regression, elementary algebra, trigonometry and elementary applied mechanics. The student will be able to use elementary algebra, trigonometry and mensuration to solve various types of applied mechanics problems."
"13","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","MECH8060","Types of Plants","Description: This course will explain the basic design of hot oil systems, components, auxiliaries, operation and maintenance, including the safety requirements of the direct-fired heater."
"14","Conestoga College Institute of Technology and Advanced Learning","Applied Energy Management","https://www.conestogac.on.ca//fulltime/applied-energy-management","MECH8080","High Pressure Boiler Design, Combustion, Feedwater","Description: Through this course, students will learn the design, construction and operation of various types of boilers. Students will explore the various components of the boiler operation cycle, and learn to operate a boiler in a safe and efficient manner. Students will learn to conduct boiler startup, shutdown, maintenance, inspection and emergency operation tasks."
