"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM71010","Success in Health Care Careers","Description: This course introduces the students to the College, the School, the program, and the profession of health informatics and health information management. Students will be provided with an overview of the program structure, its curriculum, and policies. Students will be introduced to team dynamics, personality traits, self regulated learning, project management strategies and ePortfolios. Students will also be encouraged to connect with senior students in the program to learn more about co-ops careers and success strategies.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM71030","Healthcare Governance in Canada","Description: Students will gain a comprehensive and critical understanding of the planning and delivery functions of health care, including the Canadian health care system, factors affecting health policy formulation, health economics, and funding sources."
"5","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM71050","Health Informatics","Description: This course will introduce students to the discipline of health informatics. Through work-integrated learning opportunities connected to health care related organizations, case studies and discussions, the students will develop an understanding of the core concepts of health informatics and how they are applied to practical health care related situations. By discussing historical perspectives, current developments and future trends in health informatics, students will start developing an appreciation for a variety of topics such as information needs of healthcare professionals and administrators, leadership, strategic planning, project management, change management, system implementation, medical errors, and others.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM71080","Biomedical Concepts I","Description: This is the first of three biomedical concepts courses. This course will introduce students to the biomedical terminology typically encountered in health care documentation. The students will become familiar with the structural units of the body and associated physiological functions, as well as pathological processes involving these units. Different pathological conditions will be discussed in relation to their clinical manifestations, and current methods of diagnosis, treatment, and prevention. The students will explore the relationship between clinical information, its documentation in health records, and its importance in health informatics and information management in health care. The systems covered in this course will be: the integumentary system, the body membranes, and the musculoskeletal system.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","INFO71765","Information Technology I","Description: This course provides a foundation to the technical aspects of Health Information Science, and focuses on desktop computing. Students will learn how to perform basic hardware troubleshooting, how to install and use different operating systems, how to use common productivity applications to analyze basic data and communicate ideas, and how to leverage tools, services and content from the Internet. Students will apply course concepts by using their own laptop.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","PROG71000","Database Concepts I","Description: This course provides a foundation for students to query data in healthcare and focuses on the development and use of the SQL language to access, analyze and present meaningful data to stakeholders. Students will write basic queries to extract useful data, and will develop more complex queries to address increasingly complex use-cases and contextual requirements. Students will apply their knowledge by analyzing data from the Canadian healthcare industry through the use of SQL and integrated development environments.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","ENGL71000","Academic Communications","Description: This course is intended to develop the communication skills required in academic studies, which will translate into useful writing and presentation skills in Canada's increasingly intercultural professional and technical domains."
"11","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM71020","Health Information Management I","Description: This course introduces students to the profession of Health Information Management (HIM). Foundations of data and information management in Canadian health care will be a core focus of the course. Health care documentation, in both paper-based and electronic formats, and the steps of the health information life cycle will be discussed. Students will begin to apply biomedical terms, abbreviations, and acronyms to health care documentation. Students will be introduced to ethics, legal, regulatory, privacy, and confidentiality issues related to information management in Canadian health care.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM71100","Solving Problems in Health Systems","Description: This course will provide students with an opportunity to enhance their problem solving skills in health informatics through application of systems and process improvement methodologies. The students will analyze selected cases from local, national, and international health informatics projects. The course will expose students to a variety of tools to improve their problem solving strategies, ability to work in teams, leadership and interpersonal conflict management skills.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","PROG71010","Database Concepts II","Description: This course builds on the foundation students have in SQL queries and report generation by introducing concepts of database design, data modeling and database normalization. Students will understand use-cases and business requirements and transform their understanding of the healthcare system into meaningful data models and database schemas that efficiently store information while meeting the business and technical requirements of our complex healthcare system. Students will apply their knowledge by manipulating data from the Canadian healthcare industry through the use of SQL.Hours: 56Credits: 4Pre-Requisites: PROG71000, COMP71038CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","PROG71880","Programming Concepts I","Description: This course will introduce students to problem-solving techniques, programming logic and programming fundamentals."
"15","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","SOC71500","Group Dynamics","Description: This course will focus on comprehensive theoretical understanding of group process, personal skill development and application through intensive team work. These skills are of critical importance in both professional and social settings."
"16","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","Level 3","Level 3",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM72015","Data Analysis I","Description: The students will be introduced to types of data and common statistical measures used in health care."
"18","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM72050","Biomedical Concepts II","Description: This is the second of three biomedical concepts courses. This course will reinforce students' knowledge of the biomedical terminology typically encountered in health care documentation. The students will advance their familiarity with the structural units of the body and associated physiological functions, as well as pathological processes involving these units. Different pathological conditions will be discussed in relation to their clinical manifestations, and current methods of diagnosis, treatment, and prevention. The students will continue exploring the relationship between clinical information, its documentation in health records, and its importance in health informatics and information management in health care. The systems covered in this course will be: the nervous system, the endocrine system, blood, the cardiovascular system, the lymphatic and immune systems, and the respiratory system.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","HIM72060","Healthcare Information Systems I","Description: In this course students gain exposure to health information systems by researching and documenting typical clinical workflows, scenarios and use-cases. Some of the clinical and administrative functions that are explored are: scheduling, admission, discharge and transfer (ADT), inpatient and outpatient pharmacy management, lab test order management, patient vitals collection and analysis, eMAR/BCMA and CPOE. Students are encouraged to think inter-professionally and required to research and document the information needs and roles of various healthcare team members and in a variety of different care settings, such as primary care, acute care, home care, community care, and long term care.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","PROG72300","Programming Concepts II","Description: Students will plan, write, test, and debug computer programs using current program design methodologies."
"21","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: Interdisciplinary","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"22","Conestoga College Institute of Technology and Advanced Learning","Applied Health Information Science (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-applied-health-information-science-honours","Level 4","Level 4",NA
