"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","COMM8110","Communications for Effective Management","Description: This course will emphasize professionalism as a key foundation for communicating as a supervisor in a manufacturing environment. Emphasis will be placed on effective oral and written communications with all related stakeholders to include all levels of employees and management."
"3","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","DRWG8015","Mechanical Drawing","Description: Upon successful completion of this course, the student will be able to interpret and create engineering drawings. This course will begin with basic engineering drafting skills of mechanical parts and progress to more complex parts. The student will gain knowledge of the creation of templates, borders and title blocks that are used in the current version of AutoCAD. The main areas of study are basic system customization, drawing and editing tools, dimensioning techniques, multiple view drawings, attribute definitions, blocks, and external references. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","DRWG8040","Geometric Dimensioning and Tolerancing","Description: Geometric Dimensioning and Tolerancing is a system for defining and communicating engineering tolerances. Students will extend basic drafting skills knowledge to the applied principles of geometric dimensioning and tolerancing. An emphasis will be placed on the interpretation and application of symbols to drawings, measurements, and quality control.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","DRWG8140","Blue Print Reading and Welding Symbols","Description: This course reinforces blueprint reading and engineering drawing knowledge. Students will learn to apply orthographic projections, technical interpretations and dimensioning techniques to engineering drawings."
"7","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","MACH8000","Principles of Metrology for Quality Management","Description: In this course the student will investigate dimensional metrology and the use of measuring equipment to ensure quality requirements compliance in a manufacturing shop. The student will use a variety of precision measuring instruments to check machined features of pieces for size and geometric conformity. Legislative health and safety requirements are an important component of this course. Students will discuss the impact of quality related decisions on operating principles, techniques, inspection and checking procedures. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","QUAL8001","Quality, Strategy and Value Creation","Description: Introduces the philosophy and guiding principles that represent the foundation of a continuously improving organization. Addresses the roles of leadership, strategic planning and deployment to exceed customer expectations. Additional topics include the role of teams and associated processes to maximize profitability.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","WELD8140","Welding Practice and Theory I","Description: This hands-on course will introduce the student to the practical processes and procedures involved with Oxy Acetylene torches. Areas of study will include shop safety in accordance with government safety regulations, risk assessment when working with torches and other Hot Works equipment. Students will also study a broad range of welding theory and welding equipment."
"10","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","DRWG8030","Solid Modelling for Manufacturing","Description: This course demonstrates the uses of SolidWorks for manufacturing & mechanical design. Topics include user interface, file structure, 3D sketches, plane creation, advanced sweeps, lofts and surfaces, top-down assembly and introduction to motion and simulation analysis.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","DRWG8150","Weldments Drawing in AutoCAD","Description: This course builds on the concepts from previous courses."
"13","Conestoga College Institute of Technology and Advanced Learning","Applied Manufacturing Management - Welding Option","https://www.conestogac.on.ca//fulltime/applied-manufacturing-management-welding-option","ECON8001","Engineering Economics","Description: This course covers the basics of project investment and appraisal and selection. Topics include: time value of money; cash flow analysis; cost of capital; elements of cost and cost estimation; decision making among alternatives; break even analysis; effect of depreciation, taxes, replacement analysis, inflation and uncertainties and risk.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
