"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","EDUC8200","Introduction to Applied Behaviour Analysis","Description: Students will be introduced to the principles of applied behavioural analysis (ABA), which is the basis for Intensive Behavioural Interventions (IBI)."
"4","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","EDUC8210","Introduction to Autism Spectrum Disorder (ASD)","Description: Students will learn about the neurodevelopmental and behavioural aspects of people with Autism Spectrum Disorder, previously labelled as five different syndromes under the Autism Spectrum Disorder umbrella. Students will learn about the causes, symptoms, diagnostics tools, research-based interventions, and will cover Autism Spectrum Disorder from birth to adulthood.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","EDUC8220","Specialized Instructional Strategies","Description: This course introduces the student to common evidence-based behavioural approaches applied in teaching individuals with autism new skills with an emphasis on strategies for teaching language, academic skills, activities of daily living, play skills, and social skills."
"6","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","EDUC8235","Working with Families and Teams","Description: This course presents students with theories, terminology, and applications underlying current approaches to teamwork and working with the families of children with Autism Spectrum Disorders. The focus will be on effective collaboration with a multi-disciplinary team, which is essential to successful intensive behavioural intervention. Students will develop the interpersonal, job-oriented skills necessary to problem-solve as team members in a flexible, empathetic, resourceful, and productive manner.Hours: 45Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","EDUC8245","Ethics and Professionalism","Description: This subject will introduce the foundations of ethical thinking and will review the different perspectives and rationale for ethical decision-making within a behavioural framework. Students will be introduced to professional codes of ethics that are essential for ethical practice. They will learn how to think critically and apply general ethical principles to particular situations through the use of case studies, practice vignettes, structured exercises and group discussions. This subject will provide participants with the basis for developing ethical guidelines for practice, examining areas related to legislative acts, an overview of the BACB guidelines of responsible conduct for a behaviour analyst and the ONTABA/ABA standards of practice. Students will also learn how to evaluate their own professional expertise and limitations for ongoing professional development planning. Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Autism and Behavioural Science","https://www.conestogac.on.ca//fulltime/autism-and-behavioural-science","EDUC8265","Behavioural Skill Building","Description: This course presents a comprehensive review of procedures for choosing and organizing curriculum for students with autism of various ages. A review of basic behaviour principles and teaching strategies is discussed. Emphasis is placed on curriculum development such as the utilization of the Assessment of Basic Language and Learning Skills (ABLLS). Curriculum development is discussed with an emphasis on speech and language, social and play skills, personal care skills, and inclusion into less restrictive environments. Hours: 56Credits: 4Pre-Requisites: EDUC8240 or EDUC8245, EDUC8230 or EDUC8235, EDUC8200, EDUC8210, EDUC8220CoRequisites:"
