"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO1010","Work Practices","Description: Demonstrate a basic working knowledge of recommended trade work practices; construction, operating principles, testing and servicing of tools and equipment; setup and safety for oxy-acetylene cutting and heating."
"3","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO1021","Engine Systems","Description: In the theory portion of the course, students are introduced to the construction and operating principles of cylinder blocks, crankshafts and related components. In addition, they will study engine failures and how to analyze these issues. Students then move into the shop and have the opportunity to practice and develop skills related to the disassembly, inspection and testing of these engine-related components.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO1030","Electrical/Electronic and Emissions Systems","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of electrical system circuits and components, light and heavy duty lead acid batteries, gasoline fuel systems, intake and exhaust systems and emission control systems; demonstrate a basic working knowledge of the design, layout and interpretation of electrical system wiring diagrams.Hours: 98Credits: 7Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO1045","Drive Train Systems","Description: Demonstrate a basic knowledge of the construction, operating principles, testing and servicing of power train clutch assemblies, manual transmissions, and manual transaxle assemblies. Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO1050","Suspension/Steering and Brake Systems","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of suspension systems, and hydraulic brake systems, as well as tires and rims.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","Level 2","Level 2",NA
"8","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO2010","Air Conditioning Systems","Description: Demonstrate a working knowledge of the construction, operating principles, testing and servicing of major air conditioning systems heating and ventilation systems.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO2021","Engine Systems","Description: Demonstrate a working knowledge of the purpose, construction and principles for cylinder head, valve train and forced induction assembly components.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Automotive Service Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/automotive-service-technician-apprenticeship","AUTO2030","Electrical/Electronic and Emission Systems","Description: Demonstrate a working knowledge of electrical definitions and fundamentals of applied test equipment; the construction, operating principles, testing and servicing of the following: major cranking systems and control circuits; charging systems and control circuits; electronic ignition systems and controls; fuel characteristics; gasoline electronic fuel injection systems; and engine management/engine control systems.Hours: 98Credits: 7Pre-Requisites: CoRequisites:"
