"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","LIBS1540","Student Success for Higher Learning","Description: This course enables students to employ strategies and take advantage of resources and opportunities that will support their success in post-secondary environments. Students will identify their unique learning styles and develop strategies for achieving their academic, career and personal goals for reaching personal satisfaction. It provides a structured and supportive learning environment to help students define and develop the academic habits and skills for a successful transition to a Canadian post-secondary culture. The course will address the diverse issues facing students who are beginning their academic path in post-secondary studies. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","MATH1380","Algebra","Description: The purpose of this course is to provide the student with a mathematical basis for dealing with physical, biological, economic, business and social relationships described in terms of algebraic equations. The course is designed to briefly review the most important topics in mathematics from high school. This is followed by such topics as linear and quadratic equations, graphical representation of a variety of functions, matrices and determinants.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","PHYS1180","Physics for Aviation","Description: This course will provide a historical background to the field of physics and also explain the standard measurements and calculations involved in the basic principles of physics."
"7","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"8","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"9","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","AVIA1065","Flight Management - Intermediate","Description: This course provides preparation to write the Transport Canada Commercial Pilot Licence – Aeroplane written examination, and provides a solid base of the knowledge required to be a safe and proficient professional pilot."
"11","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","AVIA1110","Flight Training I - Part B: Private License","Description: In the second term, students will continue working on the exercises listed in Part A and work on Navigation, Cross Country flight, Instrument work and preparation for their private flight test.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","COMM1380","Professional Writing Skills for Business","Description: In this second-level communications course, students learn the professional writing skills required for effective communication in business. Students apply their learning to business case studies to produce documents for various purposes and audiences using a range of current business formats. They will also learn to write proposals and reports using research and documentation skills to further prepare them for higher learning and career success.Hours: 42Credits: 3Pre-Requisites: COMM1085CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","ELEC1150","Electrical Fundamentals","Description: This course is designed to provide the student with the basic principles and laws of electricity through the recognition of the principles underlying Ohm's Law, magnetism and electro-magnetism. In addition, the student will be able to identify the working principles and applications of key components such as resistors, capacitors and coils. The student will deal with the mathematic formulas to solve electric circuit problems for load, wire size, equipment specifications, costs, and related issues.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","MATH1390","Exponents And Trigonometry","Description: This course is a continuation of algebra, where the examination of functions is further developed through the study of logarithmic and exponential functions. The trigonometric functions are introduced and are expanded to include trigonometric identities, graphs, equations, and applications. In addition, polar coordinates and vectors are examined.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"16","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Level 3","Level 3",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","AVIA1020","Introduction to Aircraft Aerodynamics and Performance","Description: This course introduces the student to a broad range of aerodynamic concepts."
"18","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","AVIA2030","Geography and International Law","Description: Scientific knowledge of geography is crucial for pilots. Knowing how to read and interpret the map, understand coordinates and being able to do simple calculations on the fly — all covered by Geography — will ensure success of future aviators."
"19","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","CDEV8130","Career Management","Description: This course focuses on career management skills needed to navigate the evolving workplace. Students will evaluate their skills, attitudes, and expectations within their chosen careers and explore emerging trends in the workplace. Students will refine their networking strategies and create marketing documents to position them for success. Mock interviews will provide the opportunity for practice, feedback, and reflection as students prepare for future interviews. Students will explore communication strategies that support workplace success and advancement. By the end of this course, students will have created a personalized career management plan. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","Electives: Program Option 1
      
      Student must complete a minimum of 154 Hours","Electives: Program Option 1","Student must complete a minimum of 154 Hours"
"21","Conestoga College Institute of Technology and Advanced Learning","Aviation - General Arts and Science Fast Track","https://www.conestogac.on.ca/fulltime/aviation-general-arts-and-science-fast-track","View Program Option Electives","View Program Option Electives",NA
