"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH71120","Construction Materials and Methods I","Description: This course is an introduction to the fundamentals of building construction systems, in terms of connection between materiality and conceptual design, technical aspects of making and designing buildings, climate, solar geometry and building science. It explores the connection of materials to methods through an analysis of the technical aspects of designing and constructing buildings and spaces. The relationship of building to context will be introduced through a primer on building science. Case studies of small scale buildings, will be utilized to demonstrate the principles introduced within this course. The students will also be required to keep a detailed sketch book. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH71140","Introduction to Architecture - Project and Facility Mangement","Description: This course will serve as an introduction into fundamental design, project management and facility management concepts and tools that are a focus of the Architecture – Project and Facility Management program."
"4","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH72010","Building Sciences","Description: Through this course, the student will be introduced to the concept of the building as a living entity. The variety of systems within a building will be examined in relation to the problems which can result when these systems are poorly designed or do not function as intended. Physical factors that influence good design for performance, durability, health efficiency and sustainability of buildings will be studied. Common building design/construction problems that result in poor performance, expensive repairs, litigation, etc., their causes and solutions will be explored through studies famous, infamous and vernacular buildings, materials, details, etc. The principles of building science will be utilized to establish the appropriate performance characteristics of the systems as well as the preventative/corrective actions which could be prescribed when things go wrong.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","COMP71180","Computer Concepts I","Description: This course concentrates on the advanced application of CAD and image manipulation software in order to accomplish industry specific tasks, such as design drawings and presentation materials."
"6","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"7","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN71055","Studio I","Description: This is the first in a series of eight courses that provides the opportunity to integrate, apply and build upon the knowledge and skills acquired during course work to projects. The focus of Studio I is the design process and the methodical approach that can be utilized to develop a building or space. The Studio utilizes project development and case studies to introduce the graphic language of architecture including communication through drafted drawings, sketches and diagrams. Projects will include case studies, a review of the design process for a specific building and a final project. In the final project the student will work through the preliminary stages of the design process and develop a design scheme for a small yet complex project. The students will also be required to make oral and visual presentations of the projects. Hours: 98Credits: 5Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ENGL71000","Academic Communications","Description: This course is intended to develop the communication skills required in academic studies, which will translate into useful writing and presentation skills in Canada's increasingly intercultural professional and technical domains."
"9","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","FND71055","Foundation Module (Architecture)","Description: The Foundation Module is a 2-week preparatory session designed to provide students with the required fundamental skills to be successful within the Architecture-Project and Facility Management degree program. This module will provide the student with their first exposure to Project Based Learning, and serve as preparation for this alternative approach to learning which forms the basis of the program's structure. In addition to refreshing their knowledge base in a variety of aspects of the program's curriculum, students will develop and apply skills in graphic communication, teamwork and verbal presentation through the completion of a program project.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","SOC71500","Group Dynamics","Description: This course will focus on comprehensive theoretical understanding of group process, personal skill development and application through intensive team work. These skills are of critical importance in both professional and social settings."
"11","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","Level 2","Level 2",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH71010","Human Health, Ergonomics, Environment and Safety","Description: This course examines the interrelated effects and connections of the environment (built and natural), and ergonomics on human health and safety. It examines the design of environments that will enable humans to make the best use of their abilities within a healthy, productive and safe context. It also considers responsibilities for the protection of non-human environments and the social and ethical issues associated with the design, construction and operation of built environments.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH71130","Construction Materials and Methods II","Description: This is a study of the more advanced aspects of building construction, dealing with the intrinsic connection between conceptual design and technological aspects of a building's structural materiality: reinforced concrete, precast and pre-stressed concrete, steel framing systems; building envelop: building science, curtain walls, window walls, glazing and roofing systems; fire protection design and the evolution of an industrialized method of designing and assembling buildings. The course studies materials and methods as applied to renovation projects and building additions. The course includes preservation and enhancement of existing materials and construction assemblies as well as the study of the juxtaposition of new materials and assemblies with those of the existing building. Studies are based on a variety of facets including visual, cost, climate, code and environment.Hours: 42Credits: 3Pre-Requisites: ARCH71120CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH71150","Code I","Description: This course provides an introduction to the regulatory, prescriptive and objective based aspects of design and construction. Standards, Codes and Regulations will be explored in relation to their intended purpose. The importance of these documents will be demonstrated through an examination of their historic development. The appropriate application of these documents will be demonstrated through a review of actual projects done in the studio. Specific design and construction problems will be presented for review and resolution utilizing the appropriate standards, codes and/or regulations.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","COMP71190","Computer Concepts II","Description: This course will concentrate on the use of the digital software for computer-aided design, detailing and modeling. The intent of the course is to provide the student with a solid foundation of the command structure and capabilities of various computer programs in order to facilitate self-study and advanced application during Studios. Both 2-dimensional and 3-dimensional applications will be reviewed.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN71010","HVAC and Fire Protection","Description: This course introduces the student to the basic systems of a building, with a concentration on HVAC (Heating, Ventilation and Air-conditioning), and Fire Protection. The standard components of each system will be reviewed and studied, particularly in relation to their performance when configured in common systems types. System design will be reviewed utilizing office and institutional project types. Using mathematics and scientific principles students will learn and apply heat loss heat gain, HVAC equipment selection and sizing, and fire and smoke detection and suppression.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN71060","Studio II","Description: This Studio will lead the student through the process of design, problem solving, presentation and management of the design process through the development of an addition to an existing facility. Students will work in teams and develop a comprehensive proposal covering issues related to space planning, code, building systems design, and material use and construction methods. The final project will include detailed plans, sections and elevations, and a model. Other course work in the term will act as resources for the studio projects. The students will be required to maintain an ongoing sketchbook of the studio project development and various work schedules. The students make a formal presentation of the term project to a jury.Hours: 112Credits: 6Pre-Requisites: DSGN71055 or DSGN71070CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","Level 3","Level 3",NA
"19","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH72110","Construction Cost Estimating","Description: The course covers the different estimating techniques including: preliminary estimate, elemental analysis estimate, detailed estimate and estimation of direct cost, overhead cost, contingency and markup. It also discusses bidding procedures, bidding strategy, bid closing and computer application in cost estimating. In addition, the course reviews life cycle cost. Students are required to use Studio III project to prepare preliminary, elemental, detailed estimate and bid document.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","ARCH73010","Code II","Description: This course covers Part 3 of the Ontario Building Code including concepts of health and safety. The course is designed to develop an ability of critical review of this part to be applied to the term project leading up to preparation of working documents including specifications. The course also identifies Underwriters Lab of Canada (ULC) studies including flame spread in relation to the building design.Hours: 42Credits: 3Pre-Requisites: ARCH71150CoRequisites:"
"21","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","CEPR71050","Co-op and Career Preparation","Description: This series of modules prepares degree level students for job searching for their co-op work terms and for their future careers. Students will examine the co-operative education policies and procedures and will learn the expectations, rules, and regulations that apply in the workplace concerning social, organizational, ethical, and safety issues while deepening their awareness of self-reflective practices. Students will critically reflect on their skills, attitudes, and expectations and evaluate available opportunities in the workplace. Successful completion of these modules is a requirement for co-op eligibility.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"22","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN72000","Structural Systems","Description: This course in structural systems provides a perspective of structural systems from a management and decision-making perspective rather than an engineering design perspective. This focus will allow the student to perceive building structures from a system perspective rather than an elemental analysis perspective. The course will focus on reinforce concrete and steel frame structural systems. As an essential understanding of structural systems, the course will review the various configuration of these systems and how these configurations relate to the building design and construction.The course will review the essential components of these systems and how these components perform within their respective systems.The course will review the various factors that impact the design and construction of a structural system such as building code, planning considerations, structural loads and rule of thumb component sizing. The course will introduce the student to various methods of graphic communication specific to structural systems."
"23","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN72015","Building HVAC Equipment","Description: This course provides students with knowledge on the major equipment used in building HVAC systems. Standard engineering procedures are employed to identify and design appropriate layouts. System options available to condition and ventilate office/commercial occupancies (Part 3 OBC) are identified and categorized as to their performance on an economic basis to allow identification of optimum systems. Factors involved in the renovation of building HVAC systems are also covered.Hours: 42Credits: 3Pre-Requisites: DSGN71010CoRequisites:"
"24","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN72110","Studio III","Description: The overarching premise for this studio is to incorporate and investigate the contemporary design requirements for new core and shell building projects in terms of: energy use, material and resource consumption, site design, design with climate, urban context and interior environmental quality.The goal is to propose a high performance building that addresses the current standards, issues and considerations that are part of energy use, environmental concerns, healthy and productive interior environments and other issues that need to be addressed by the design, facility management and building disciplines in light of current cultural, technological and environmental precepts.The final proposal for the term will be of a mid-sized multi-tenant occupancy that will be able to address the needs of a number of differing occupant requirements and provisions.Hours: 112Credits: 6Pre-Requisites: DSGN71060 or DSGN71080CoRequisites:"
"25","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Applied Technology (Honours) - Architecture - Project and Facility Management","https://www.conestogac.on.ca//fulltime/bachelor-of-applied-technology-honours-architecture-project-and-facility-management","DSGN73010","Energy and Design","Description: This course centers on the issues surrounding the integration of sustainable design into architectural design and management. The course utilizes Building Information Modeling to assess energy use and analyze daylighting in a digital model. The course introduces LEED (Leadership in Energy and Environmental Design) for its applications in building design and construction. Hours: 42Credits: 3Pre-Requisites: ENGL71000 or ENGL71200CoRequisites:"
