"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","BUS71200","Organizational Behaviour with International Applications","Description: This degree level course is a study of individual, group, and organizational behaviour in order to influence the way that people work together to achieve organizational goals. It will also consider cultural differences and how the effective use of best practices must be adapted in international settings."
"3","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","COMP72370","Information Management","Description: This course is an overview of the nature of information and its use in business. Topics will include: computer hardware and software architecture, telecommunications and the Internet, database management, decision support systems, ecommerce, systems acquisition process, and security, global and ethical issues. The concepts are reinforced with practical exercises to develop the students' competency using end user application software including word processing, spreadsheet, presentation graphics and business intelligence tools.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ECON71050","Introduction to Microeconomics","Description: This degree level course introduces students to basic microeconomic terminology, concepts, methodology and theories, and provides an understanding of firm behaviour under various market structures in an international setting, and their application to current global microeconomic issues. Topics of study include: supply and demand, elasticity concepts and their application; consumer theory; production, costs, and the determination of equilibrium price and output under different market models- perfect competition, monopolistic competition, monopoly and oligopoly; government export taxes/subsidies and regulation of the market, and international trade. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ENGL71000","Academic Communications","Description: This course is intended to develop the communication skills required in academic studies, which will translate into useful writing and presentation skills in Canada's increasingly intercultural professional and technical domains."
"7","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","MATH71775","Business Math","Description: The purpose of this degree-level course is to provide the student with a full spectrum of problem solving tools within the Mathematics of Finance."
"8","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: Interdisciplinary","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"9","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ACCT71210","Introductory Accounting","Description: The understanding of basic accounting is critical for managers in any environment. This introductory course provides an overview of the fundamental concepts for financial accounting. Students will be able to explain financial accounting terminology, classify the components of financial statements and prepare financial statements.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","BUS71000","Business Process Integration","Description: The use of enterprise systems is essential to managing the operations of a multi-national organization. Through the applied use of SAP Enterprise Resource Planning (ERP) system, this course will explore the functional structure and process orientation of a business. Process orientation, and its relationship to improved cross-functional interaction, has been discussed by many businesses thought leaders, including W. Edwards Deming and Michael Porter. This course will conceptualize information systems as the utilization of technical resources to support organizational processes. Students will be engaged in an active learning approach including use of SAP ERP, as well as ERPsim - a game-based ERP simulation. Within this context, students will learn to manage a company's key business processes in a real-time simulated competitive environment to gain technical skills with SAP and learn how ERP systems facilitate the creation of transactional data and the foundations of business reporting and analysis. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ECON71030","Introduction to Macroeconomics with International Applications","Description: This degree level course deals with aggregate economic activity in the Canadian economy and its interrelationship with the rest of the world. It provides students with a basic understanding of macroeconomic principles and their relevance to macroeconomic issues impacting Canadian society. It examines the structure and performance of the Canadian economy utilizing such economic indicators as gross domestic product, employment, unemployment, income and productivity growth, inflation, interest rates, exchange rates, balance of international payments and the impact of government fiscal and monetary policies in an international setting. It will analyze current global issues affecting the Canadian economy. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ENGL72000","Professional Communication","Description: Effective communication is at the heart of any successful professional work environment."
"14","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","MKT71090","Marketing","Description: This degree level course introduces the basic theories and concepts in marketing as well as an understanding of how these concepts are applied in the management of a company."
"15","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","OPER71260","Operations Management I","Description: The Manufacturing Concepts course is focused on the manufacturing/operations activities of organizations which create the products used in the global economy. This course will examine the major elements of the design and management of a manufacturing operation. Particular emphasis is placed on strategies and the effective utilization of resources to add value to the supply chains in which they operate, thereby improving their competitive position in the global economy.Hours: 42Credits: 3Pre-Requisites: MATH1775 or MATH71775CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Level 3","Level 3",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ACCT72500","Managerial Accounting","Description: This degree-level course provides students with an understanding of the types and behaviours of costs used by managers in the planning, decision-making and budgeting processes."
"18","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","CEPR71050","Co-op and Career Preparation","Description: This series of modules prepares degree level students for job searching for their co-op work terms and for their future careers. Students will examine the co-operative education policies and procedures and will learn the expectations, rules, and regulations that apply in the workplace concerning social, organizational, ethical, and safety issues while deepening their awareness of self-reflective practices. Students will critically reflect on their skills, attitudes, and expectations and evaluate available opportunities in the workplace. Successful completion of these modules is a requirement for co-op eligibility.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","MGMT72095","Project Management with International Applications","Description: Management of large-scale projects is both a science and an art. This course will focus on Project Management as an essential component of managing both international and domestic operations and an evolving professional discipline. All projects are typically complex, are comprised of many components and tasks, and involve a cross-section of different functional teams."
"20","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","MKT72200","International Marketing","Description: This is a degree level course in International Marketing designed to expose students to challenges and opportunities that exist in a global environment."
"21","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","STAT72105","Statistics","Description: This business statistics course covers simple descriptive statistics, probability and the binomial and normal probability distributions, statistical inference, sampling distributions, simple regression and correlation analysis.Hours: 56Credits: 4Pre-Requisites: MATH71775CoRequisites:"
"22","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 Hours","Electives: Interdisciplinary","Student must complete a minimum of 42 Hours"
"23","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Electives: Program Option
      
      Student must pass 1 Course(s), selected in the Student Portal from available course options","Electives: Program Option","Student must pass 1 Course(s), selected in the Student Portal from available course options"
"24","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","View Program Option Electives","View Program Option Electives",NA
"25","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Please note that all courses may not be offered in all semesters.  Go to your student portal for full timetabling details under ""My Courses"".","Please note that all courses may not be offered in all semesters.","Go to your student portal for full timetabling details under ""My Courses""."
"26","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","BUS72000","Introduction to Sustainability with International Applications","Description: Stakeholder opinions about how an organization responds to social and environmental issues is increasingly shown to have a positive or negative impact on the financial performance of a business. Organizations, therefore, must have the knowledge and tools to manage multiple stakeholders and the concept of sustainability effectively in both the virtual and physical environments. This course introduces business students to the fundamental concepts and issues related to “sustainability” both nationally and internationally. Students will explore the definitions, history, key theories, and principles of sustainability in order to build the analytical, communication and critical thinking skills necessary to use the language of “greening” or “sustainability”. Students will also learn about stakeholders' diverse perspectives on whether a business is being “responsible” and “ethical”. Furthermore, this course will focus on the complexity of sustainability as a concept and practice within organizations. Students will develop the skills to analyze an organization's “business case” for sustainability; to assess the existing frameworks, systems or tools used to measure and monitor their sustainability-related performance; and to make recommendations to transition the organization towards sustainable business practices. Lastly, the course will prepare students to evaluate the future of sustainability within organizations and societies.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"27","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","OPER72100","Global Supply Chain Management","Description: The goal of this course is to familiarize students with the discipline of supply chain management (SCM), which enables firms to better coordinate inbound and outbound information and material flow domestically and internationally."
"28","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Level 4","Level 4",NA
"29","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","HRM72105","Human Resource Management","Description: The primary focus of this introductory course is to offer the student an overview of the Human Resource (HR) Management function and each of its disciplines. The course emphasis is on the application of the skills and techniques commonly used today by HR managers in each discipline area, and on understanding how they are related to the organization's overall strategy and objectives. Pertinent legislation is studied in detail. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"30","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","INFO72010","Business Analytics and Data Visualization","Description: This course provides an introduction to business analytics and data visualization with an emphasis on data-driven decision making. The course will cover the concepts, processes, and methodologies used to manage organizational data and the methodologies to transform high quality data into information within the context of multiple areas of study such as Human Resources, Marketing, and Supply Chain Management. Students will learn the fundamentals of query and report design with emphasis on identifying data and interpreting results to support organizational decision making. Students will be engaged with state of the art tools for data visualization, data discovery and predictive analytics. Students will investigate organizational key performance indicators and will construct management dashboards utilizing visualization best practices. The course will contain both conceptual and applied topics, utilizing both case studies and student researched datasets.Hours: 56Credits: 4Pre-Requisites: COMP72370, STAT72105CoRequisites:"
"31","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","LAW72205","Business Law","Description: This course is an introduction to the legal system which governs personal and commercial relationships in Canada. As such, it will provide the student with knowledge of the basic legal concepts, in order to gain insights into judicial reasoning, and develop the skills necessary for legal inquiry and analysis."
"32","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","RSCH73100","Research Methods","Description: During this degree-level course students will explore research methods and their application to data analysis."
"33","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","SOC73180","Conflict Management","Description: Without exception, every relationship of any depth has conflict."
"34","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: Interdisciplinary","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"35","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Level 5","Level 5",NA
"36","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","COOP72000","Co-op Work Term I (International Business Mgt)","Description: The co-op work term will provide students with college-approved work experience within an international business management environment. Students will be provided an opportunity to build skills (physical and procedural skills including accuracy, precision, and efficiency); assist in the acquisition of knowledge in and application of knowledge gained in the academic setting (concepts and terminology in a discipline or field of study); develop critical, creative, and dialogical thinking (improved thinking and reasoning processes); cultivate problem solving and decision-making abilities (mental strategies for finding solutions and making choices); explore attitudes, feelings, and perspectives (awareness of attitudes, biases, and other perspectives, ability to collaborate); practice professional judgment (sound judgment and appropriate professional action in complex, context-dependent situations); and reflect on experience (self- discovery and personal growth from real-world experience).Hours: 420Credits: 14Pre-Requisites: CDEV71050 or CEPR71050CoRequisites:"
"37","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Level 6","Level 6",NA
"38","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","BUS74020","International Business Planning and Strategy","Description: This is a capstone course for students requiring them to apply the principles and knowledge obtained in all other business disciplines to a specific business situation whether domestic or international. The course uses a broad theoretical perspective combined with experiential learning to equip students with the knowledge, attitudes and behaviours needed to effectively participate in the development of overall strategy and operational tactics, and to prepare students to participate in the strategic planning process within a global economy. Adopting a resource based view of the firm, students will be exposed to leading strategic theories and tactics at global, corporate, business units and functional levels. Students will be asked to analyse sources of competitive advantage and profitability using a wide range of approaches to develop a comprehensive SWOT (Strengths Weaknesses Opportunities Threats) analysis and to formulate realistic recommendations. Differences among embryonic, growth and mature industries, and the techniques needed to prosper in technologically driven industries, will be examined. Specific challenges and techniques associated with entry into international markets will be explored, along with the challenges associated with resource allocation. Students will have an opportunity to explore techniques to foster B2B and B2C relationships.Hours: 56Credits: 4Pre-Requisites: HRM72100 or HRM72105 or MGMT72100CoRequisites:"
"39","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","CLTR72000","World Cultures","Description: World cultures both broadly and deeply affect and are affected by globalization in ways that unify and divide as well as produce equities and inequalities among people and nations. In this course, students will focus on topics pertaining to similarities and differences in world cultures and societies. Incorporating varying perspectives on diversity, students develop an understanding of the impacted groups, develop strategies which demonstrate respect for diversity, and critically examine social change performed on a world stage.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"40","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","FIN72105","Finance for Managers","Description: All managers in an international environment need financial management skills to make decisions and manage projects within an organization."
"41","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","LAW73020","International Business Law","Description: As an introduction to international business law, this course will discuss religious, civil and common law legal systems and their implications when transacting across borders. Differentiating between sovereigns and private entities as potential subjects of international law, students will learn to distinguish between public and private international law through a recognition of the autonomous nature of a ‘sovereign' and its law making power, and the principles governing private disputes with respect to jurisdiction, applicable law, etc. Leading international conventions governing foreign investment, international trade in goods and services, labour, transfer of risk/title, transportation, admiralty, financing/documentary credit, protection of intellectual property, including Hague Visby rules and INCOTERMS will be discussed. Examining the relevance of international bodies like the World Trade Organization (WTO), UN, International Chamber of Commerce (ICC) etc. in facilitating such conventions and in the peaceful resolution of inter-country disputes, students will also be familiarized with international arbitration options for the resolution of private disputes. Incentives for regional groupings like the EU, NAFTA, ASEAN and OHADA, along with the reasons behind Brexit, will also be discussed.Hours: 42Credits: 3Pre-Requisites: LAW72205CoRequisites:"
"42","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Electives: Program Option
      
      Student must pass 1 Course(s), selected in the Student Portal from available course options","Electives: Program Option","Student must pass 1 Course(s), selected in the Student Portal from available course options"
"43","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","View Program Option Electives","View Program Option Electives",NA
"44","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Please note that all courses may not be offered in all semesters.  Go to your student portal for full timetabling details under ""My Courses"".","Please note that all courses may not be offered in all semesters.","Go to your student portal for full timetabling details under ""My Courses""."
"45","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","BUS73010","Introduction to Consulting","Description: This course will introduce students to the theory underpinning successful execution of a consulting project in a global business environment and will differentiate the role of a business consultant from that of a business manager. Key topics will include goal setting, identifying dependency relationships, outlining resources required, concurrent activity management, decision theory, and monitoring and controlling of progress for successful completion of projects. Students will focus on a number of critical activities and skills involved in economic, operational and people management. The course will provide the student with “hard practice” in applying theory and skills developed in the various courses taken previously. Tasks and assignments will require students to integrate their knowledge of different global and domestic business concepts and apply them to problem-solve specific areas of the business environment at hand. This material will be supplemented by assigned research, reporting, and analysis that requires critical thinking in order to identify international opportunities for consultants and job seekers, together with the identification of key stakeholders and the development of strategic approaches to these opportunities.Hours: 42Credits: 3Pre-Requisites: RSCH73100CoRequisites:"
"46","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","BUS73020","Bachelor's Thesis I","Description: In this course students will work independently on the development of a thesis topic related to a question of their choice in the field of business. The goal will be to synthesize theories and concepts learned in previous years with a review of the research literature to support the development of a novel research question and a proposed research design to answer the question posed. The outcomes of this course are expected to be a thesis proposal and a completed Research Ethics Board application.Hours: 42Credits: 3Pre-Requisites: RSCH73100CoRequisites:"
"47","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Electives: Program Option
      
      Student must pass 1 Course(s), selected in the Student Portal from available course options","Electives: Program Option","Student must pass 1 Course(s), selected in the Student Portal from available course options"
"48","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","View Program Option Electives","View Program Option Electives",NA
"49","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","Please note that all courses may not be offered in all semesters.  Go to your student portal for full timetabling details under ""My Courses"".","Please note that all courses may not be offered in all semesters.","Go to your student portal for full timetabling details under ""My Courses""."
"50","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","ENVR73080","Environmental Principles","Description: This degree-level course will introduce Business students to the overall concept of sustainability, and its three key aspects -- economic sustainability, environmental sustainability, and social sustainability. The primary focus will be on the science of the environment. Students will be able outline the major scientific principles of the natural environment, including the importance of sustaining biodiversity, natural resources, and environmental quality. The earth's en3vironment is considerably affected by human activity, and human activity is overwhelmingly directed by, or affected by business activity. Recognizing the inextricable connection between business and the environment, students will be able to relate to how human economic activity affects environmental and social sustainability and will be able to develop basic strategies on how businesses can redirect their activities to be consistent withlong-term sustainable growth.Hours: 42Credits: 3Pre-Requisites: BUS72000CoRequisites:"
"51","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","HRM73010","Strategic Workforce Planning","Description: This course will enable students to develop their knowledge and skills related to the planning and recruitment of human resources in order to help an organization implement its strategy, both in domestic and international contexts. The course will focus on workforce planning through forecasting human resource supply and demand, creating a workforce plan, and developing strategies for implementing the plan. Students will explore employer branding and ways to recruit an appropriate applicant pool, both from within and outside the organization, in order to ensure an adequate supply of talent to meet the organization's current and future needs.Hours: 42Credits: 3Pre-Requisites: HRM72105CoRequisites:"
"52","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Business Administration (Honours) - International Business Management","https://www.conestogac.on.ca//fulltime/bachelor-of-business-administration-honours-international-business-management","MKT73000","Buyer Behaviour","Description: This course examines the actions customers make in purchasing and using products and services."
