"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","CSCN71000","Software Engineering Fundamentals","Description: Students will be introduced to common software design and documentation standards, including requirements gathering and specifications, design/testing documentation and specifications, implementation, and testing of software to meet those specifications. A focus of this course is the construction of defect-free software artifacts that meet customer needs as described in the software system's specifications. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","CSCN71010","Computer Systems Architecture Fundamentals","Description: Students will be introduced to computer hardware and systems architecture, with emphasis on how software interacts with systems hardware. Knowledge of underlying computer hardware architectures is critical to the development of software that meets performance requirements, which is an important aspect of software quality. This knowledge is also necessary to support the evaluation of software toolkits, programming languages, and algorithmic techniques, and to facilitate efficient problem determination and troubleshooting of software artifacts. Topics will include machine / assembly language, input and output from a computer system, and obstacles to performance constraints such as CPU clock speeds, caches, memory, input/output devices, and related topics.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","CSCN71020","Project I: Software Implementation and Unit Testing","Description: Delivery of high quality software requires developers to deploy appropriate testing strategies. Through project-based learning, students will gain software testing experience through the creation of unit tests for sample software which will lead to the development of an expansive test project. During the semester, these concepts will support learning outcomes in other courses in the program, while also developing communications skills by creating and presenting reports on test projects. During the final project phase, students will add new functional program code to the provided system, while developing a comprehensive test suite. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","ENGL71200","Scientific and Technical Communications","Description: Documents that are written for scientific or technical purposes are written in a very precise and specific way that does not permit variations in interpretation."
"6","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","MATH71010","Linear Algebra and Discrete Mathematics","Description: In this course, students will acquire critical thinking and abstraction skills to build mathematical models of abstract concepts in order to solve real-world problems. Students will also improve their understanding of recursion through the analysis of sequences and recurrence relations. Topics in this course include: methods of solving a set of linear equations; matrix algebra and matrix determinants; linear transformations; sequences, series and their applications; spatial vectors; numerical integration and its applications; eigenvalues and eigenvectors; set theory; combinatorics; and logicHours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","PROG71985","Programming Principles","Description: This course introduces software design and implementation using the C language. Topics include: algorithm design, modular code design, programming style, functions, arrays, pointers strings, data structures, and file I/O. An emphasis will be placed on proper design to produce reliable, robust and maintainable software. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","CSCN71030","Project II: Team Based Software Development","Description: Rarely will software be developed by an individual. In industry, software is designed, implemented and tested in team environments. By simulating real-world practices, this course will leverage awareness of group dynamics to engage students in team-based testing exercises, extending testing strategies from previous course work. Through a project-based approach, students will collaboratively develop, employ and report on the effectiveness of software testing strategies. Software projects developed and tested in this course reinforce the learnings from previous and concurrent courses in the program. Communications skills will be enhanced by reporting on benchmark outcomes to team leaders and management. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Computer Science (Honours)","https://www.conestogac.on.ca//fulltime/bachelor-of-computer-science-honours","PROG71020","Object Oriented Programming","Description: Students acquire the knowledge of building high quality, robust, well designed software applications using object oriented design principles through an industry-standard programming language. Students apply modern, iterative development techniques to build progressively complex, interactive applications using modern software development environments and frameworks. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
