"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","CHEM72005","Chemistry","Description: This course provides students with the opportunity to perform a number of chemistry experiments increasing their practical knowledge, investigation skills, chemical processes in industrial settings and safety awareness. Topics covered may include: chemical reactions, acids and bases, Newton's Law of Cooling, reduction and oxidation, polymerization and synthesis of acetylene.Hours: 56Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","DRWG71005","Engineering Drawing Principles","Description: Topics in the course include: Free-hand engineering sketching techniques, projections and multi-view drawings; auxiliary views, scaling and sectioning; SolidWorks"
"5","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","FND71065","Foundation Module (Advanced Manufacturing)","Description: The Foundation Course is a 2-week preparatory session designed to acquaint students with the Mechanical Systems Engineering degree program, to introduce students to various Conestoga College resources and to provide students with the necessary academic skills to be successful.Hours: 40Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","MACH71685","Material Removal Manufacturing Processes","Description: Topics in this course include: measurement systems and measuring instruments; theory and use of turning, milling, grinding, drilling, broaching and sawing equipment; feeds and speeds calculations; cutting tool identification and insert geometry; cutting tool materials; chip formation; process sheet development; nontraditional machining processes, measurement and gauging; production of project parts.Hours: 56Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","MATH71561","Calculus for Engineering","Description: Topics in this course include: algebraic, trigonometric functions and their graphs, limits, continuity, derivatives, applications such as tangent lines, extreme values, and linear approximations. Integral calculus, fundamental theorems, integral as area, indefinite and definite integrals, transcendental functions, methods of integration.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","MECH71140","Year 1 Project - A","Description: The first year project provides opportunities for students to demonstrate their mastery of selected Course Learning Outcomes of first year courses."
"9","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","PHYS71095","Physics - Mechanical","Description: Topics in this physics course include fundamental mechanics: scientific units and accuracy of measurement, kinematics, dynamics, energy and momentum (linear and rotational), centroid, moment of inertia, static equilibrium of particles and rigid bodies, and simple harmonic motion. Hours: 70Credits: 4Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","SOC71500","Group Dynamics","Description: This course will focus on comprehensive theoretical understanding of group process, personal skill development and application through intensive team work. These skills are of critical importance in both professional and social settings."
"11","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","Level 2","Level 2",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","ENGL71200","Scientific and Technical Communications","Description: Documents that are written for scientific or technical purposes are written in a very precise and specific way that does not permit variations in interpretation."
"13","Conestoga College Institute of Technology and Advanced Learning","Bachelor of Engineering - Mechanical Systems Engineering","https://www.conestogac.on.ca//fulltime/bachelor-of-engineering-mechanical-systems-engineering","IFME71240","Fluid Power and Mechanics","Description: Topics in this course include: the introduction of fluid power; foundations of fluid mechanics; hydraulic fluid power transmission (including hydraulic cylinders and cushioning devices, hydraulic control valves, .hydraulic pumps and motors, hydraulic circuit design and analysis and hydraulic accessories); pneumatic fluid power transmission (including air properties, ideal or perfect gas laws, air preparation and components, pneumatic actuators, pneumatic valves, pneumatic circuits and applications);and theoretical calculations, analysis and labs.Hours: 56Credits: 3Pre-Requisites: CoRequisites:"
