"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","COMP1006","Software Applications I","Description: The student will have an opportunity to become familiar with computer software applications currently used in the hospitality industry. Practical experience using Microsoft Word, Excel, and PowerPoint will be emphasized and an opportunity to discover how this software can increase efficiency in business is presented.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1470","Baking and Pastry Arts Theory I","Description: This course is designed to give the student a foundation of theoretical knowledge of baking and pastry techniques, methodologies, principles, relevant mathematical applications related to: organization, yeast goods, basic cookie preparations, quick breads, pies, choux paste, sweet paste.Hours: 56Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1480","Baking and Pastry Arts Skills I","Description: This course covers the fundamentals of baking and pastry skills through a series of demonstrations and practical laboratories. Students will produce a variety of fermented and pastry goods related to the theoretical component, building the necessary essential skills, knowledge and the disciplines necessary to compete in today's industry.Hours: 168Credits: 8Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","MATH1575","Mathematics for Hospitality","Description: In this general hospitality mathematics course students will learn and practice concepts relating to yield and price factors, menu pricing, break even points, P&L statements, compound interest and equivalent valuesHours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","OHS1390","Hospitality Certifications: SmartServe & Food Handlers","Description: Students will complete industry certifications for alcohol service (Smart Serve) and food handling (TRAINCAN). Hours: 7Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CDEV1830","Career Success","Description: This course focuses on the skills needed to conduct a successful job search. Students will explore the labour market and identify trends that may impact their future careers. They will develop skills for an effective job search including networking, self-marketing documents and tools as well as interview skills. Mock interviews will provide the opportunity for practice, feedback and reflection as students prepare for future interviews. Students will develop a personalized job search plan to support their future careers. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1010","Nutrition and Healthy Lifestyle","Description: This course is designed to make students aware of preventative strategies to contribute to overall wellness, make healthy food choices and maintain a balance between eating habits and physical activity."
"12","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1500","Baking and Pastry Arts Theory II","Description: Building upon topics in theory I the student will receive advanced theoretical knowledge of baking and pastry techniques, methodologies, principles, relevant mathematical applications, related to cake production, masking and decoration, cookies, chocolate tempering, dessert plating, rye breads and basic sours and sponges, petit fours, bars and squares., custards and creamsHours: 56Credits: 3Pre-Requisites: CUL1470CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1510","Baking and Pastry Arts Skills II","Description: This course is designed to introduce the student to the advanced fundamentals of baking and pastry skills. Students will produce a variety of fermented and pastry goods as taught in the theoretical component. This course will touch on all the pastes and dough's utilized in the industry, sweet paste, pate brisee, quiche, puff, brioche, strudel, phyllo.Hours: 140Credits: 7Pre-Requisites: CUL1480CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1520","Dessert Menu Management","Description: This course will give the student the opportunity to learn the necessary skills needed to plan a dessert menu. Offering insights to the history of the subject to a study of today's trends. Using mathematical equations, teamwork skills, and research, students will be required to produce a professional quality dessert menu to include suitable wine pairings, suited to a specified food outlet.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","CUL1530","Baking Production","Description: This course will introduce students to basic concepts related to baking and pastry volume production.Students gain detailed knowledge and practical skills in basic bakery administration, ingredient and material selection; purchasing, receiving, storage and issuing; stock control and security.Through study and practical application students learn to structure and plan a bakery operation to control the cost of products, eliminate waste, take stock and inventory, cost inventory and use standardized formulas.Hours: 70Credits: 5Pre-Requisites: CUL1480CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Baking and Pastry Arts","https://www.conestogac.on.ca/fulltime/baking-and-pastry-arts","MGMT1050","Kitchen Management I","Description: Upon completion of this course, the student will understand and be able to apply purchasing, storage, and cost control techniques to a food service operation. Essential cost control calculations and topics such as menu pricing, cost of food sold, menu analysis, yield factors, and a short section on financial statements are included."
