"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","FPLT1410","Field Placement (Bartending)","Description: The Field Placement will provide the learner with the opportunity to demonstrate the skills acquired through the Program in an occupational setting."
"4","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1190","The World of Beer","Description: This course is designed to investigate the increasingly popular view that beer is, and should be, judged on the same level as wine. Topics will include the history of beer production, different styles of beer, the brewing process, correct storage and serving techniques for bottle and draught beer. An opportunity for beer comparison will be provided in a lab setting."
"5","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1200","Introduction to Spirits","Description: This course is designed to introduce the student to the fundamentals of spirits and liquors. The correct storage, care and service of these products will be explored along with the distillation process, historical and medical properties of spirits and liquors. The significance of taste and density in the preparation of drinks will be discussed.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1210","Beverage Cost Control","Description: A fundamental knowledge of math concepts is necessary to succeed in the beverage industry. Calculator use, basic arithmetic, ratio and proportion, metric measurement conversion, beverage costing and inventory control will be studied in this course.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1235","Mixology I","Description: This intensive core course will introduce the students to the art and science of mixology. The student will develop the skills required to mix and serve beverages using standard mixing practices, and utilize those skills to prepare a set of one hundred recipes. Choosing appropriate garnishes and glassware will also be covered. Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1300","Mixology II","Description: Building on the fundamental skills and knowledge of beverage preparation, the student will practice ways to put a little flair into the serving style. Successful completion of this course requires mastery of 75% of the drink recipes introduced in the semester one Mixology course. Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1400","Customer Service","Description: This course examines how management is the key to delivering quality customer service in the food and beverage industry."
"10","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","HOSP1540","The World of Wine","Description: This comprehensive wine course will explore the major international grape varieties, wine regions and wine styles of the world, including Canada! Students will experience how grape growing and wine making methods can influence wine style, quality and price. Professional wine service will be practiced, highlighting the importance of proper wine storage and service temperatures. Food and wine pairing concepts will be examined with in-class wine and food pairing activities. Wine labels and quality control identifiers will be analyzed. Students will learn how to design wine menus and create a wine list.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Bartending","https://www.conestogac.on.ca/fulltime/bartending","OHS1390","Hospitality Certifications: SmartServe & Food Handlers","Description: Students will complete industry certifications for alcohol service (Smart Serve) and food handling (TRAINCAN). Hours: 7Credits: 1Pre-Requisites: CoRequisites:"
