"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","BIOT1037","Biochemistry","Description: This course discusses the structure, properties, and biological role of the four major macromolecules: proteins, carbohydrates, lipids, and nucleic acids. Particular focus is given to proteins, including practicing laboratory techniques for protein isolation and purification, and the analysis of enzyme function and activity. The central pathways involved in the biosynthesis of macromolecular precursors will be examined, including the connections between pathways within a cell. Students will explore cellular bioenergetic pathways including cellular respiration and photosynthesis.Hours: 56Credits: 4Pre-Requisites: BIOT1083 or CHEM1070CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","BIOT1090","Food and Agricultural Biotechnology","Description: This course examines the influence and applications of biotechnology on agriculture and food."
"4","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","BIOT2070","Immunology","Description: This course describes the components of the immune system as well as their functions by presenting advanced concepts and technologies in the field of humoral and cell-mediated immunity and their application to the biological sciences. Laboratory exercises provide a working knowledge of immunological techniques and their applications to the biotechnology industry. Topics include immunogenicity, B and T cell activation and function, antibody structure and function, immunological assays, and antibody design and production.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","BIOT2090","Plant Cell Biotechnology","Description: This course examines the field of plant biotechnology and its applications. Topics include micropropagation using a variety of tissue culture techniques, as well as the genetic modification of plants. Laboratory exercises include: the preparation and staining of plant tissue, plant transformation, and micropropagation, with emphasis on aseptic technique. Hours: 56Credits: 4Pre-Requisites: CoRequisites: BIOT1090"
"6","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","BIOT2120","Life Science Research Project I","Description: This course requires students to work in groups that focus on a chosen sector of the biotechnology and life science industry. Students will explore the current work being done in this area while collaborating with an industry partner to prepare a report highlighting the work of a specific company. They will further extend their knowledge of current biotechnology research themes by preparing a literature review of published articles to describe a research topic relevant to their chosen sector. Students will develop their interpersonal and professional skills while working as a group.Hours: 28Credits: 2Pre-Requisites: BIOT1020 or BIOT1025CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","BIOT2141","Laboratory Skills for Biotechnology","Description: This course is entirely lab based and will focus on mastering several important laboratory techniques including pipetting, solution preparation, UV spectrophotometry, use of analytical glassware, cell culturing, aseptic technique, chromatography, and electrophoresis. Lab experiments will be based on relevant industry scenarios and incorporate aspects of data management, protocol development, quality control, and problem solving.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"9","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","STAT2000","Statistics for Life Sciences","Description: This course enables students to apply the statistical skills necessary for scientific data analysis and research. Topics include: data analysis and interpretation; probability; confidence intervals; hypothesis testing; and analysis of variance.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Biotechnology Technician Fast Track","https://www.conestogac.on.ca/fulltime/biotechnology-technician-fast-track","Level 2","Level 2",NA
