"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1030","Introductory Financial Accounting I","Description: This course introduces accounting terminology, the accounting equation, the double-entry system of bookkeeping, the accrual basis of accounting, financial statements, and the ledgers and journals making up a basic accounting system. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1520","Personal Tax Returns","Description: This introductory course is designed to provide the knowledge required to prepare Canadian Income Tax Returns (T1). We will cover sources of income, deductions, credits and the calculation of tax. Successful completion of this course will allow you to be employed as a tax preparer for income tax specialty firms or prepare your own tax return.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","BUS1021","Organizational Behaviour","Description: Studying people and organizations, this course examines the behaviour of individuals working alone or in teams. Using actual examples, this course examines how behavioural factors affect organizational effectiveness. Note: This course is an approved Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","COMP1056","Business Computing Applications I","Description: During this course, the student will learn to effectively use Windows operating system, apply word processing techniques, create basic business presentations, and explore the power of spreadsheets . Students will also learn the skills necessary to operate effectively within the Conestoga College computing environment. An emphasis will be placed on the development of solutions to business problems using commonly available microcomputer tools. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"8","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","MATH1010","Business Mathematics I","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions through four instructional modules. The course stresses business applications using arithmetic, algebra, ratio-proportion and graphing. Applications include payroll, cost-volume-profit analysis and merchandising mathematics. This course stresses logical reasoning and problem solving skills. A Texas Instrument BAII “Plus” calculator is required for the course. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1040","Introductory Financial Accounting II","Description: This course teaches introductory information on principles and methods used in accounting for current assets, long-term assets, long-term liabilities and equity accounts for both partnership and corporate business structures.Hours: 56Credits: 4Pre-Requisites: ACCT1030CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1110","Introduction To Payroll Administration","Description: Recommended: ACCT1030 Introductory Financial Accounting I or equivalent knowledge."
"12","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1135","Introductory Cost Accounting","Description: This course introduces managerial accounting concepts and terminology including various methods of analyzing cost behaviour, as well as"
"13","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1345","Excel in Accounting","Description: This course provides students with the intermediate level topics required for The Microsoft Office Specialist exam; ""Excel Expert: Interpreting Data for Insights"". Excel is an essential accounting tool. The material covered in this course will enhance the ability of the student to create and streamline accounting workbooks for optimal control, ease of use, and report design.Hours: 42Credits: 3Pre-Requisites: COMP1056 or COMP1923CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT1550","Advanced Personal Tax Returns","Description: This advanced level course will expand on the topics presented in Personal Tax Returns."
"15","Conestoga College Institute of Technology and Advanced Learning","Bookkeeping","https://www.conestogac.on.ca/fulltime/bookkeeping?v=2001","ACCT2225","Accounting Applications I","Description: Through the use of Sage 50 (formerly known as Simply Accounting) and QuickBooks students will learn how to use two popular accounting software packages for use in small and medium size businesses. In the Sage 50 component of the course they will become familiar with computer accounting for applications such as Chart of Accounts, General Journal, General Ledger, Sales, Purchases, Accounts Receivable, Accounts Payable, Payments, Receipts, Reconciliations, Payroll, Inventory, Vendor files, Customer files, Employee files and company setup. In the QuickBooks component of the course they will become familiar with computer accounting for applications such as Chart of Accounts, Writing Cheques, Sales Receipts, General Journal, General Ledger and company setup.Hours: 56Credits: 4Pre-Requisites: ACCT1030CoRequisites:"
