"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","BRT8000","Audio Video Performance","Description: Audio Video Performance focusses on communication skills that feature voice and presentation ability. Students will work on developing appropriate expression for various types of performance. Components may include script interpretation, personal story telling, commercial messages, reporting and ad-libbing. Both live and recorded performances/productions will be undertaken. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","DMED8200","Social Media Fundamentals","Description: Social Media Fundamentals examines various online outlets such as Facebook, Instagram, YouTube, and Twitter to identify the audience demographics, strengths and weaknesses of each. The content needs and the opportunities each platform presents for performers/hosts/experts/content creators will be investigated as well."
"5","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","DMED8210","Creating Media Content","Description:"
"6","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","DMED8220","Crafting an Online Presence","Description: In today's world, it's imperative that individuals have a presence in the digital realm. Students will use tools such as blogs, websites and social media accounts or channels to build a digital portfolio across a variety of outlets. These will provide a showcase for content generated in this course as well as other personal creative endeavours. Proper/acceptable uses of the various platforms will also be examined. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","JRN8080","Research, Writing and Interviewing","Description: Research, Writing and Interviewing will prepare the student for the ongoing need for story idea development as well as gathering and creating material that would be of use for various media platforms."
"8","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","BRT8010","Live Performance","Description: Live Performance deals with the demands of real-time presentation to an audience. Skills will be developed to host content that is consumed as it is being produced, with no chance for a second take. Situations such as news anchoring, sports casting, play by play, weathercasting, personality radio and talk and interview shows will be explored. Students will have the opportunity to engage in a variety of these roles as determined by their personal interests. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","BRT8020","Produced Performance","Description: Produced Performance advances students' knowledge of pre-recorded content that can be created and consumed on an intermittent or on-demand basis. This may include material destined for podcasts, music or entertainment reviews, infomercials, business marketing videos and more. Students will have the opportunity to engage in a variety of these roles as determined by their personal interests.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","BRT8045","Performance Capstone","Description: The capstone challenges students to research and prepare a high-quality project showcasing the integration of performance insights and technical skills they have acquired through their course of study in the program. The capstone project will be a series of presentations on a topic, selected by the student, which includes compelling, well-presented examples of competence in: research, media technology, performance and interviewing techniques, and story development, resulting in reliable, focused, entertaining and professional looking reports.Hours: 84Credits: 6Pre-Requisites: BRT8000, DMED8200, DMED8210, DMED8220, JRN8080CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","ENTR8030","Digital Media Entrepreneurship","Description: Digital Media Entrepreneurship will be an integral part of any successful digital media performer's career. In this course, the requirements for creating a basic media business plan will be examined. Topics will include the importance of networking for self-promotion, personal marketing opportunities, building your brand using social media, developing a client base and dealing with the ensuing accounting needs. The opportunities and challenges of free-lance and contract work will be investigated along with their advantages and disadvantages compared to full-time employment.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","JRN8090","Citizen Journalism","Description: More and more news and information content is being produced by individuals and freelancers. For a citizen journalist to be effective and develop a growing subscriber base, their reports need to be reliable, focused, entertaining and professional looking. This course examines the purpose of citizen journalism, how it is different from the mainstream media and the journalistic integrity and knowledge required to be an effective reporter. Students will determine a general interest(s) of theirs (eg. entertainment, city crime, sports, the environment etc.) and regularly create audio and video reports about it using their already developed online presence as a distribution platform. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Broadcasting Performance and Digital Media","https://www.conestogac.on.ca//fulltime/broadcasting-performance-and-digital-media","PHOT8050","Creative Imagery","Description: Creative Imagery teaches the essential skills to properly take photographs using a DSLR with the goal of enhancing a brand or message strategy. Students will learn proper lighting and composition techniques to capture landscape, product and lifestyle images. Through a variety of pre and post production techniques, the elements of storytelling through still images will be identified and explained. Students will also apply basic image editing techniques including colour correction, sizing, and formatting techniques. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
