"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","BRT1165","Single Camera Production","Description: It all starts with the shot. Wide shots. Medium shots. Close-ups. High angle, low angle and canted angle shots. All are elements of the visual grammar that goes into creating a compelling scene. In this course students will explore the language of visual storytelling and learn the basics of professional single camera shooting and editing. They will learn how to shoot a scene from various angles, with different sized shots, and how to edit those shots together to create a single scene that flows smoothly and seamlessly. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","BRT1250","On-Camera performance","Description: Successful YouTubers, journalists and actors all have one thing in common, the ability to present content with confidence. This course explores on-camera performance for both scripted and non-scripted video platforms. Through discussion, coaching and group exercises, students learn techniques to enhance their confidence and ability to effectively articulate material on camera. Students will explore proper voice manipulation, creating emotion and appropriate appearance to present an impactful performance.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","BRT1265","Audio for Video","Description: Close your eyes. Imagine a baby crying, or a crowd cheering, or an out of control train careening ever faster down the tracks. All in complete silence. Audio is the element that adds life to a production. It helps connect the audience emotionally to the story. In fact, audio is a least 50% of the viewer's experience. In this course, students will learn how to use audio as a storytelling tool. They will learn about audio theory and the tools and techniques specific to video production. Basic miking, recording and audio mixing techniques will be explored through the shooting and editing of video projects.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","BRT1270","Television Studio Production","Description: To an outsider, the mix of multiple monitors, buttons and sounds within a busy television control room can seem like chaos, but it's actually an environment where everyone is fulfilling an essential role that ultimately results in a slick and seamless television program for the viewing audience. Welcome to the inside. This course introduces students to basic, multi-camera, studio production tools and techniques with a heavy emphasis on teamwork and best practices. Directing, switching, audio, camera operation and video control are among the many crew roles that students will perform to produce programs within the television studio environment.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"8","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"9","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Broadcasting - Television and Independent Production","https://www.conestogac.on.ca/fulltime/broadcasting-television-and-independent-production","BRT1150","Production Management","Description: The industry that develops, produces, and delivers video content is constantly evolving in response to the changing landscape created by technology, culture and business. In this course students examine the current lay of the land in the television and independent production industries from funding models to applicable laws, ethics, standards and practices. The past, future and interconnectedness of both television and independent production are explored to help make sense of current conditions and future forecasts.Hours: 42Credits: 3Pre-Requisites: COMM1085CoRequisites:"
