"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","ACCT1030","Introductory Financial Accounting I","Description: This course introduces accounting terminology, the accounting equation, the double-entry system of bookkeeping, the accrual basis of accounting, financial statements, and the ledgers and journals making up a basic accounting system. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","COMP1056","Business Computing Applications I","Description: During this course, the student will learn to effectively use Windows operating system, apply word processing techniques, create basic business presentations, and explore the power of spreadsheets . Students will also learn the skills necessary to operate effectively within the Conestoga College computing environment. An emphasis will be placed on the development of solutions to business problems using commonly available microcomputer tools. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","FIN1020","Introductory Financial Planning","Description: This course is an introduction to the areas of financial planning and financial services."
"7","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","MATH1010","Business Mathematics I","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions through four instructional modules. The course stresses business applications using arithmetic, algebra, ratio-proportion and graphing. Applications include payroll, cost-volume-profit analysis and merchandising mathematics. This course stresses logical reasoning and problem solving skills. A Texas Instrument BAII “Plus” calculator is required for the course. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"9","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","COMM1380","Professional Writing Skills for Business","Description: In this second-level communications course, students learn the professional writing skills required for effective communication in business. Students apply their learning to business case studies to produce documents for various purposes and audiences using a range of current business formats. They will also learn to write proposals and reports using research and documentation skills to further prepare them for higher learning and career success.Hours: 42Credits: 3Pre-Requisites: COMM1085CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Business Administration - Financial Planning","https://www.conestogac.on.ca/fulltime/business-administration-financial-planning","ECON1030","Macroeconomics","Description: This course is a study of the Canadian economy as a whole. It introduces students to principles that are essential to an understanding of contemporary macroeconomic issues facing Canadian society. It examines the structure and performance of the Canadian economy utilizing economic models and aggregate economic indicators such as gross domestic product, employment, unemployment, income and productivity growth, inflation, interest rates, exchange rates, balance of payments;"
