"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","BUSS8000","Principles of Business-to-Business Sales","Description: This course will introduce the selling process and its application to the sale of products in a Business-to-Business environment. Students will develop professional selling skills using practical techniques including live role plays and scenarios.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","BUSS8010","Introduction to Business Development","Description: In simplest terms, business development can be summarized as the ideas, initiatives and activities aimed towards making a business better and increasing its value. This could include increasing revenues, achieving growth through business expansion, increasing profitability by building strategic partnerships, and making strategic business decisions. This course will help students develop skills to determine how much business could grow, recognize where that growth would come from, and define the approach to capturing that growth.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","FIN8240","Finance for Sales","Description: Sales requires a healthy respect and understanding of the numbers. In this course, students will focus on how to prepare and work with budgets and forecasts. Students will also learn how to conduct relevant financial analysis such as breakeven levels and marginsHours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","MKT8160","Business-to-Business Marketing","Description: In this course, students will focus on applying the core principles of marketing to the business-to-business environment. This includes the marketing of products to companies for use in the production of other goods, for use in general business operations or for resale to other consumers. Students will learn how B2B differs from B2C and how to successfully market to this demanding audience.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","MKT8170","Customer Relationship Management","Description: In this course, students will examine the practices, strategies and technologies that companies use to manage and analyze customer interactions and data throughout the customer lifecycle. Students will learn to use these tools to improve business relationships with customers, assist in customer retention and drive sales growth.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","TECH8000","Sales Technology","Description: This hands-on course will introduce students to the latest technology used by sales professionals today to both enhance and improve the sales process. Students will learn to use these new tools to obtain detailed customer intelligence and manage customer data in a way that supports successful relationships.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","BUSS8020","Professional Selling","Description: Building on ‘Principles of B2B Sales', this highly interactive and hands-on course will hone the students' professional selling abilities with a focus on selling intangibles and services. Students will construct an end-to-end sales presentation that will be pitched in multiple role-plays with peers and the instructor, culminating in closing the deal.Hours: 56Credits: 4Pre-Requisites: BUSS8000CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","BUSS8030","Social Selling","Description: Sales professionals who have incorporated social selling into their sales process consistently outperform those stuck in the pre-social sales funnel. In this course, students will focus on this important approach to selling that allows salespeople to laser-target their prospecting, establish rapport and trust through existing connections and networks, and possibly even ditch the dreaded practice of making cold calls.Hours: 42Credits: 3Pre-Requisites: FIN8240 or MKT8170CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","BUSS8040","Strategic Account Management","Description: The job of maintaining a company's existing customer relationships is an important one. In this course, students will learn all aspects of successfully managing an account in order to sustain and nurture a lasting business relationship. Students will also study the specifics of key account management, territory management and category management.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","BUSS8050","Integrated Business Development and Sales","Description: This capstone course is designed to give students an opportunity to apply all of the knowledge and skills they've learned in the program. Students will have an intensive ""live"" business case from industry representatives in the final weeks of the semester that will challenge them to problem solve on a real sales scenario. Hours: 98Credits: 4Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Business Development and Sales","https://www.conestogac.on.ca//fulltime/business-development-and-sales","MKT8180","Negotiations","Description: Negotiating effectively helps professionals reach agreements, achieve objectives, strengthen their relationships, and ultimately be more productive. This course will develop students' skills at successfully navigating dynamic negotiation situations. Students will demonstrate their mastery by planning and executing a high-stakes negotiation.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
