"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","ACCT1170","Foundations of Accounting","Description: This course builds basic skills in accounting terminology, the accounting equation, the double-entry system of bookkeeping and financial statements."
"3","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","BUS1012","Introduction to Business","Description: This course will introduce the students to the fundamentals of the Canadian business system. Students will study business structures as well as topics in economics, accounting, marketing, and operations management."
"4","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","CDEV1840","Career Discovery","Description: This course focuses on career exploration and decision making. Students will evaluate their interests, values, skills and abilities through assessment tools and explore the labour market to identify employment trends aligned to their strengths."
"5","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","COMP1727","Business Computing Applications I","Description: During this course, the student will learn to effectively use the Windows operating system, apply word processing techniques, create basic business presentations, and explore the power of spreadsheets."
"7","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"8","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","MATH1820","Foundations of Business Math","Description: This course will provide the student with learning tools that will help them to improve basic arithmetic skills and to develop reasoning and problem solving skills. It is designed for students to help them bridge any existing gap between their current preparation and college level math.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","ACCT1500","Foundations of Accounting II","Description: This course introduces inventory merchandising transactions and valuation, accounting information systems, cash control, payroll accounting, and financial statement analysis.Hours: 42Credits: 3Pre-Requisites: ACCT1025 or ACCT1170CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","COMM1380","Professional Writing Skills for Business","Description: In this second-level communications course, students learn the professional writing skills required for effective communication in business. Students apply their learning to business case studies to produce documents for various purposes and audiences using a range of current business formats. They will also learn to write proposals and reports using research and documentation skills to further prepare them for higher learning and career success.Hours: 42Credits: 3Pre-Requisites: COMM1085CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","FIN1100","Introduction to Personal Finances","Description: This course will focus on providing students with the knowledge required to effectively understand and manage their personal financial situation."
"13","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","MATH1453","Mathematics for Business","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions through four instructional modules. The course stresses business applications using arithmetic, algebra, ratio-proportion and graphing. Applications include payroll, cost-volume-profit analysis and merchandising mathematics. This course stresses logical reasoning and problem solving skills. A Texas Instrument BAII “Plus” calculator is required for the course.Hours: 56Credits: 4Pre-Requisites: MATH1820CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","MKT1040","Marketing I","Description: Marketing is about knowing the customers and the creative and strategic processes to meet their needs, wants and desires."
"15","Conestoga College Institute of Technology and Advanced Learning","Business Fundamentals","https://www.conestogac.on.ca/fulltime/business-fundamentals","OPER1420","Introduction to Supply Chain and Operations Management","Description: A Supply Chain is a network of organizations that are involved in the different processes and activities that produce value in the form of products and services in the hands of the ultimate customer or consumer. Operations Management is one of the three major functions of a business, along with Marketing and Accounting / Finance, and focuses on designing, creating, and improving goods and services. Understanding key Supply Chain and Operations Management foundations is crucial to any company's success and profitability. This introductory course will expose students to topics related to how products and services are created and delivered to the customer.Hours: 56Credits: 4Pre-Requisites: MATH1820CoRequisites:"
