"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","ACCT1030","Introductory Financial Accounting I","Description: This course introduces accounting terminology, the accounting equation, the double-entry system of bookkeeping, the accrual basis of accounting, financial statements, and the ledgers and journals making up a basic accounting system. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","COMM1285","Integrated Language Skills for Business","Description: This course introduces students to the reading, writing, listening, and speaking skills required within the international business field. The course will introduce students to a series of real-world business tasks that will develop business language and intercultural communication skills. The course prepares students to communicate effectively for both personal and professional success. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","COMP1056","Business Computing Applications I","Description: During this course, the student will learn to effectively use Windows operating system, apply word processing techniques, create basic business presentations, and explore the power of spreadsheets . Students will also learn the skills necessary to operate effectively within the Conestoga College computing environment. An emphasis will be placed on the development of solutions to business problems using commonly available microcomputer tools. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","ECON1030","Macroeconomics","Description: This course is a study of the Canadian economy as a whole. It introduces students to principles that are essential to an understanding of contemporary macroeconomic issues facing Canadian society. It examines the structure and performance of the Canadian economy utilizing economic models and aggregate economic indicators such as gross domestic product, employment, unemployment, income and productivity growth, inflation, interest rates, exchange rates, balance of payments;"
"7","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","MATH1010","Business Mathematics I","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions through four instructional modules. The course stresses business applications using arithmetic, algebra, ratio-proportion and graphing. Applications include payroll, cost-volume-profit analysis and merchandising mathematics. This course stresses logical reasoning and problem solving skills. A Texas Instrument BAII “Plus” calculator is required for the course. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","MKT1040","Marketing I","Description: Marketing is about knowing the customers and the creative and strategic processes to meet their needs, wants and desires."
"9","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","ACCT2460","Applied Managerial Accounting","Description: This is an introductory course in Managerial Accounting for non-accounting students."
"11","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","COMP1003","Data Analysis and Advanced Functions","Description: During this course the student will learn and apply more advanced features of spreadsheet applications in order to develop comprehensive solutions to business problems; and utilize advanced database functions and business intelligence tools of a spreadsheet to enable an executive to make comprehensive and informed decisions.Hours: 42Credits: 3Pre-Requisites: COMP1056 or COMP1923CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","MATH1020","Business Mathematics II","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions."
"14","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","MKT1540","Products and Services for a Global Market","Description: In order to have long-term success in any international market you need to adapt and conform your products and services to the differences in regulatory, legal, cultural, and consumer/client requirements. In this course students will learn how these differences impact the cost, product design, packaging, labeling, product testing, and services delivery, and then develop strategies around these custom aspects. Hours: 42Credits: 3Pre-Requisites: MKT1040CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"16","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","Level 3","Level 3",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","BUS1021","Organizational Behaviour","Description: Studying people and organizations, this course examines the behaviour of individuals working alone or in teams. Using actual examples, this course examines how behavioural factors affect organizational effectiveness. Note: This course is an approved Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","BUS1055","Feasibility of International Trade","Description: This course examines the critical steps and decisions needed to determine the feasibility of international trade initiatives. Market research, cost- benefit analysis, and risk mitigation are all required in order to decide if international trade initiatives fit with a company's strategic direction and improve the bottom line of an organization. Risk analysis then leads to the development of strategies to mitigate identified risks. Hours: 42Credits: 3Pre-Requisites: MKT1040CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Business - International Business","https://www.conestogac.on.ca/fulltime/business-international-business","CDEV1830","Career Success","Description: This course focuses on the skills needed to conduct a successful job search. Students will explore the labour market and identify trends that may impact their future careers. They will develop skills for an effective job search including networking, self-marketing documents and tools as well as interview skills. Mock interviews will provide the opportunity for practice, feedback and reflection as students prepare for future interviews. Students will develop a personalized job search plan to support their future careers. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
