"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","CBNT1010","Protect Self and Others Level 1","Description: Upon successful completion of this reportable subject, the apprentice is able to work safely, protecting self and others in accordance with government legislation, industry standards and equipment manufacturer's recommendations.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","CBNT1020","Materials Level 1","Description: Upon successful completion of this course the apprentice is able to describe the types, characteristics, processing and applications of lumber and wood materials used in the trade in accordance with the National Hardwood Lumber Association standards and Canadian Softwood Guidelines.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","CBNT1030","Hand Tools and Portable Power Tools Level 1","Description: Upon successful completion of this course , the apprentice is able to use and maintain hand tools and portable power tools in accordance with government safety regulations, manufacturers' recommendations and industry standards.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","CBNT1040","Stationary Machines and Production Sequences Level 1","Description: Upon successfully completion of this course, the apprentice is able to set-up, operate and perform production sequences on stationary machines in accordance with government safety regulations, manufacturers' recommendations and industry standards.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","CBNT1055","Cabinet Construction Level 1","Description: Upon successful completion of this reportable subject, the apprentice is able to perform basic cabinet design and construction procedures in accordance with government safety regulations and acceptable industry standards.Hours: 56Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","DRWG1240","Trade Drawings and Layout Level 1","Description: Upon successful completion of this reportable subject, the apprentice is able to produce drawings and layouts in accordance with the requirements of trade related projects and industry standards.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","MATH1470","Applied Trade Calculations Level 1","Description: Upon successful completion of this course, the apprentice is able to solve trade related calculations in accordance with requirements of the specified trade related task.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Cabinetmaker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/cabinetmaker-apprenticeship","CBNT2010","Cutting Tool Theory Level 2","Description: Upon successful completion the apprentice will be able to describe the fundamentals of cutting tool geometry as applied to the use of machines for sawing, shaping, routing, drilling and cutting of wood components.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
