"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","CONS1800","New Construction Theory I","Description: Students will be introduced to the field of carpentry by studying the history, origins and background of the carpentry trade. Methods and materials used in the construction of forms for footings, flatwork, low-rise foundation walls and framing will be covered. Topics will also include quality, craftsmanship, and career opportunities in construction. Hours: 84Credits: 6Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","CONS1815","New Construction Practice I","Description: Students will apply construction theory in a shop environment through hands on practice and by completing small-scale foundation/framing projects. Students will be instructed on the proper use of common carpentry layout and power tools, and will practice safe use of these and other tools encountered on a construction site.Hours: 140Credits: 7Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","DRWG1175","Plans, Specifications and Codes I","Description: Students will be introduced to the Ontario Building Code and how it is used within the construction industry. The basic principles of drafting and a study of the relationships involving owner, architect, builder and tradesperson are also included.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","MATH1800","Estimating and Calculations","Description: In this course, students will review and study basic mathematics and geometry related to trade problems and construction layout.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","BUS1435","Client Relations","Description: This course will enable the student to apply the basic principles of good client relations including good communication, job site safety, and ethical practices within the construction field. Basic computer skills involving word processing, spreadsheets, presentation software, operating systems and the internet to produce business documents will be used as a means of providing information to clients.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","CONS1820","New Construction Theory II","Description: In this course students will study materials and practices commonly used to complete the exterior and interior of residential and light commercial buildings. Students will learn proper procedures and methods for application of finishes such as exterior siding, roof finishes, drywall, baseboard, and various door and window trims.Hours: 84Credits: 6Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","CONS1835","New Construction Practice II","Description: Students will apply the content studied in New Construction Theory II in a shop environment by completing hands-on projects specific to exterior and interior finishes. Students will be instructed on the proper use of both hand and power carpentry finishing tools, and will practice safe use of the common tools encountered on a construction site. Students will also practice proper installation methods in order to meet industry standards.Hours: 140Credits: 7Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"13","Conestoga College Institute of Technology and Advanced Learning","Carpentry and Renovation Technician","https://www.conestogac.on.ca/fulltime/carpentry-and-renovation-technician","Level 3","Level 3",NA
