"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL1110","Statics for Engineering Technology","Description: This course applies vector algebra and trigonometry to the analysis of statically determinate structures for civil, architectural and mechanical studies. Students will utilize Newtonian physics and mechanics of rigid bodies to apply the concepts of static equilibrium and free body diagrams in the analysis of two-dimensional structural elements and the loads applied on them. The structural elements are idealized as simple beams, frames, cantilevered beams and trusses carrying point, uniformly distributed and linearly varying loads.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL1130","Introduction to Civil Projects and Construction Safety","Description: This course introduces the student to the terminology used in Civil Engineering through the study of drawings and other project documents. The drawings for a variety of building projects, land development projects, as well as municipal works are reviewed. This course also introduces the basic health and safety issues typically involved in the civil construction.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","MATH1085","Mathematics I","Description: This course provides an extensive review and reinforces some of the topics taken by students in high school. Its purpose is to ensure that the student has a fluent background in algebra and trigonometry in order to succeed in subsequent work in engineering technology. The material covered includes fundamental arithmetic and algebraic operations, geometry, trigonometry, vectors, and the solution of systems of linear equations by algebraic methods."
"7","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","SCIE1155","Science for Technology","Description: This course is designed to introduce students to aspects of physics and chemistry that a Civil Engineering Technologist must know in order to understand concepts taught in other related Civil Engineering Technology courses."
"8","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","SURV1010","Surveying I","Description: This course introduces the student to plane surveying as it applies to the construction industry. It deals with the language of surveying, places an emphasis on field work with basic surveying instruments to provide an understanding and familiarity with the measurement and recording of survey information and the processing of that information.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL1070","CAD I","Description: This course is designed to introduce the student to basic AutoCAD skills and its use in preparing Civil / Structural working drawings. The course includes the preparation, organization, and management of drawing files, as well as the commands and techniques necessary to prepare simple, civil engineering drawings for design and construction.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL1095","Mechanics of Materials","Description: This course introduces the concepts of stress and strain in structures."
"12","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL1140","Technical Drafting and Estimating","Description: This introductory course emphasizes the development of manual drawings to assist in the determination of quantity and area calculations and also in the preparation of cost estimates using Microsoft Office software for a variety of civil engineering applications.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CONS1140","Construction Materials","Description: This course introduces the student to the properties of concrete, asphalt and other construction materials and their applications in Civil Engineering. Tests on fine and course aggregates are performed to determine their suitability in concrete and asphalt mix designs. The relationship between the curing time and the compressive strength of concrete is determined by means of destructive testing on concrete cylinders.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","MATH1090","Mathematics II","Description: This course is a continuation of Mathematics I. It includes the following topics: functions and graphs, exponents and radicals, determinants, introduction to probability and statistics, and"
"15","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"16","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","Level 3","Level 3",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2010","CAD II","Description: This course is a continuation of CAD I. The student's knowledge of AutoCAD commands and techniques will be enhanced through further AutoCAD instruction."
"18","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2040","Mechanics Of Fluids","Description: This course deals with basic principles of Fluid Mechanics and their applications. It will involve a study of the properties of compressible and incompressible fluids and the importance of these properties in the solution of problems in fluids at rest and in motion. The student will also be introduced to fluid statics, manometers, buoyancy, and kinematics of fluid flow in pipes.Hours: 42Credits: 3Pre-Requisites: MATH1090, SCIE1150 or SCIE1155, CIVL1030 or CIVL1110CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2170","Structural Theory","Description: The course provides the skills required to analyze various structures subject to static and moving loads."
"20","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","MATH2067","Calculus","Description: This course covers the concepts of differentiation and integration."
"21","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","SURV2010","Surveying II (Civil)","Description: This course enhances the student's ability to understand and apply surveying procedures in the field of engineered construction. Emphasis is placed on Total Station surveying and its integration with AutoCAD. The principles of circular and vertical highway curves are studied as preparation for Highway Technology."
"22","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"23","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","Level 4","Level 4",NA
"24","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2020","Highway Technology I","Description: This course is an introduction to Highway Design. The student is introduced to the design and construction problems that occur in both the office and the field."
"25","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2060","Hydraulics","Description: This course in hydraulics builds on the Mechanics of Fluids course allowing students to develop theoretical and practical skills necessary to design pipe and open flow systems. Topics that are directly related to Water Resources and Water Structures in Civil Engineering are covered. Subjects such as orifices and restrictives, open channel flow and design, flow control and flow measurement in open channels and culvert design will be examined.Hours: 42Credits: 3Pre-Requisites: CIVL2040CoRequisites:"
"26","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2080","Project Solutions in Civil Engineering","Description: The student will develop civil engineering design solutions using a project management approach. Two separate design projects will be completed during the semester working in a small team environment. In addition to the generation of a complete set of project drawings, project elements including scope, cost, and schedule will be addressed and the student's work will be documented in a formal technical report/memorandum. Student presentations are also an element of the course.Hours: 28Credits: 2Pre-Requisites: CIVL1130, CIVL2010CoRequisites:"
"27","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2095","Reinforced Concrete I and Masonry","Description: This course introduces reinforced concrete and masonry as a construction material. Topics include structural properties of concrete, reinforcement and masonry, framing plans and details for reinforced concrete and masonry construction, and structural design of rectangular beams, footings and slabs on grade.Hours: 42Credits: 3Pre-Requisites: CIVL2170, CIVL1095CoRequisites:"
"28","Conestoga College Institute of Technology and Advanced Learning","Civil Engineering Technology (Optional Co-op)","https://www.conestogac.on.ca//fulltime/civil-engineering-technology","CIVL2180","Steel Design and Detailing","Description: This course introduces the student to framing concepts, member design and development of working drawings using steel as the structural material. Principles of connection design and development of shop drawings are also included.Hours: 70Credits: 5Pre-Requisites: CIVL1095CoRequisites:"
