"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","ACCT8090","Financial and Managerial Accounting","Description: This course is designed to provide community and social services managers with knowledge of financial and managerial accounting required to support decision-making. Students will learn about accounting and financial dimensions involved in the management of public and third-sector organizations, ensuring they are familiar with procedures and reporting processes. Funding opportunities, grants and other revenue streams specific to the sector will also be covered. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","BUS8400","The Social Economy","Description: The course introduces students to institutional structures and relationships in the social (third) sector, both locally and globally. This sector includes not-for-profit and volunteer organizations, co-operatives, credit unions, and other social purpose enterprises that seek to improve social, economic and environmental conditions of communities. Students will explore key trends and issues concerning the social economy and related social policy issues such as unemployment, immigration, and poverty.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","BUS8410","Public Policy and Government","Description: This course explores public administrative functions and relationships within and among the levels of government in Canada. The course addresses the unique management challenges in public administration and the connections with nonprofit and community organizations. Current trends such as alternative service delivery, contracting out, public-private partnerships and privatization"
"5","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","MGMT8140","Principles of Management","Description: This course introduces students to the key functions and roles of managers including the principles and techniques used by managers to carry out their responsibilities. Key functional areas include planning, organizing, staffing, leading and controlling."
"7","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","SOCS8000","Community Development and Outreach","Description: This course is aimed at familiarizing students with theories and processes of community development and civic engagement. Students will use a variety of case studies to analyze ways in which the public is engaged in decision-making and deliberative practices. The course will explore planned interventions to address issues such as poverty, housing, public safety, and the environment.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","BUS8060","Sponsorship and Fundraising","Description: This course discusses the strategies used for generating event revenue through fundraising and special event management in the not-for-profit sphere. The student will be introduced to the concept of sponsorship and the process of meeting organization and sponsor needs. Legislation affecting sponsor and donor relationships will be examined, as well as legislation affecting fund-raising ventures and alternative funding streams.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","BUS8430","Program Development and Evaluation","Description: Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","FPLT8370","Field Placement (Community and Social Services Management)","Description: The work experience will provide the student with an opportunity to enhance their knowledge of the challenges related to social service and the not-for-profit organizations.Hours: 170Credits: 6Pre-Requisites: OHS1320CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","HRM8130","Human Resources Management","Description: The primary focus in this introductory course is to offer the student an in depth view into the world of the Human Resource (HR) Management functions and each of its specialties. The course emphasis is on the skills and techniques utilized by HR professionals in each of their specialty areas, and how they are related to the organization's overall strategy and objectives. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","MGMT8150","Community Leadership","Description: In this course, students will explore theories and practices relating to community leadership and will apply them to a variety of case studies and experiential learning activities. Topics include leadership styles, team building, motivation and empowerment, problem-solving and conflict resolution, diversity, change management, and community relationship building.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Community and Social Service Management","https://www.conestogac.on.ca//fulltime/community-and-social-service-management","MGMT8300","Introduction to Project Management","Description: This course provides the practical knowledge to prepare for starting and completing a project successfully. It will cover the components and tasks related to complex projects that often involve multiple functional teams and departments. You will explore how the knowledge areas of the Project Management Body of Knowledge (PMBOK® Guide) are applied during each phase of a project's life cycle as well as the processes related to successful project management. An overview of status reporting and the use of MS Project will be covered. This knowledge will help establish priorities and effectively manage your projects. It will be of particular interest to those students who have a long-term goal of attaining the Project Management Professional (PMP)® designation certified by the Project Management Institute. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
