"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8570","Operating System Security Models","Description: Much of the security of software applications depends directly on the security of the operating systems on which they run. In this course, students study the architecture of popular operating systems, as well as the architecture of processing hardware, in order to understand their strengths and vulnerabilities. Such topics as processes, Threats, Memory, scheduling, System Calls, Input /Output and files are covered. In addition, students learn to install, configure, maintain and patch popular operating systems. The skills acquired in this course will aid students to develop secure software solutions and to protect business resources.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8580","Secure Network Administration","Description: Most business software is used in a network environment, meaning that application specialists and security analysts need to be able to use best industry practices in network administration in order to manage secure networks and provide secure delivery of applications. Through hands-on exercises, students study the management of user and group hierarchies, as well as the configuration of logical networks in order to design security solutions to protect business resources.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8590","Network Components and Monitoring","Description: The security of applications is dependent on the design, topology and physical components of the networks on which they are served. This course consists of three major components: a study of the physical components (such as routers and switches) and topology of networks, TCP/IP protocol, and its implications for security, as well as network monitoring for performance and threats. These skills will aid graduates in developing security solutions for organizational security. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8600","Fundamentals of Cryptography","Description: In today's world, the proliferation of data is accelerating, and the secure transmission and storage of that data is essential. Many mainstream news stories revolve around the exposure of confidential information of organizations and individuals. Students will be introduced to the basic theory of encryption, including the principles, strengths and vulnerabilities of cryptography, and will apply that knowledge for two purposes: first, to assess encryption packages and the tools that use them, including email packages and messaging sites, for the purpose of transmission of sensitive data, and second, to use existing encryption library packages in order to incorporate encryption into software applications."
"7","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8620","Cyberlaw, Ethics and Privacy","Description: An important component of application and organizational security is the understanding of the rights and obligations of both the individual and the organization with respect to privacy and intellectual property. In this course students will explore ethics and law, including both Canadian law and the law of other jurisdictions, for the ways ethics and law inform the best practices of security professionals and organizations. Students will learn to assess the implications of new application development as well as the choice of supporting technologies, such as cloud computing, with respect to both vulnerabilities and liabilities of an organization. Students in this course will discuss topics such as Big Data, organized hacking, government surveillance, and industrial espionage.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","PROG8270","Software Application Security I","Description: Software applications are prone to vulnerabilities on many levels. In this course, students study vulnerabilities of web applications, including SQL injections, URL manipulations and backdoors. Students study current penetration testing techniques in order to assess, test and develop software applications with respect to security issues. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8560","Web and Wireless Security","Description: Application security specialists need to understand how web and wireless connectivity can create vulnerabilities to both applications and data storage. Students will analyze the infrastructure of web and Wireless applications for possible threats. Students will be introduced to web and wireless administration through practical exercises, including installation and configuration of servers and controllers as well as the deployment of web applications. Students will study techniques for securing server clusters, including backup and recovery functions. Methods for detecting and preventing web and wireless based attacks are itemized and studied.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8610","Information Security Management","Description: Modern business organizations require the synthesis of many levels of security measures, including physical and network security, as well as the management of security practices. In this course, students explore management techniques as they are applied to corporate and organizational security. In addition to the basic techniques of IT management that include motivation, controlling and planning, students also study tools and skills for securing organizations, including risk and asset management, threat modeling, the development of security policies and procedures, auditing and employee training.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8630","Information Security Project","Description: In this capstone course, students will use skills acquired throughout the program in order to develop an applied project or prepare a research paper that will be based on the fields of software development, networking or management from a security perspective. The project will synthesize knowledge, apply knowledge in a new way, or bring new knowledge to its field. Students will have the opportunity to research a topic or develop a project for a business client, or they can pursue a topic of their own choice. Hours: 84Credits: 6Pre-Requisites: PROG8270, INFO8570CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","PROG8280","Enterprise Application Security","Description: Because of the growth of eCommerce, many applications have grown in size and embraced the use of reusable, distributed components. This course focuses on the security of these enterprise applications, which are oriented toward high levels of user traffic as well as storage and transmission of large quantities of data. In order to learn how to secure these types of software applications, students study, with the aid of practical examples, how to develop and deploy enterprise systems, and how the security of such systems depend on the connectivity of their components. Included is an exploration of database security, web services, integration with legacy systems and Internet of Things. Hours: 42Credits: 3Pre-Requisites: PROG8270CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","PROG8290","Software Application Security II","Description: Students build on the studies begun in Software Application Security I in order to test, evaluate and develop secure applications, but this time, in connection to exploits based on threats to Von Neumann architecture. Students will use industry-leading methodologies and tools to identify and assess common software insecurities and will apply secure design principles to implement appropriate mitigations. Students examine ways of promoting application security at a higher level by infusing security into the greater software development process.Hours: 42Credits: 3Pre-Requisites: PROG8270CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","PROG8300","Malware and Hacking","Description: There are many types of malicious code and exploits that are enabled by the wider use of the internet, portable media, mobile devices and embedded systems. These exploits include trojan horses, worms, viruses, botnets and spyware, as well as less technologically sophisticated types of exploits such as password cracking and the guessing of security questions. In this course, students are encouraged to explore the behavior and motivation of hackers, to study known types of exploits, and to creatively try to design new kinds of attacks, all in order to develop the skills needed to secure organizations and software systems. Hours: 42Credits: 3Pre-Requisites: PROG8270CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","Level 1","Level 1",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"18","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8570","Operating System Security Models","Description: Much of the security of software applications depends directly on the security of the operating systems on which they run. In this course, students study the architecture of popular operating systems, as well as the architecture of processing hardware, in order to understand their strengths and vulnerabilities. Such topics as processes, Threats, Memory, scheduling, System Calls, Input /Output and files are covered. In addition, students learn to install, configure, maintain and patch popular operating systems. The skills acquired in this course will aid students to develop secure software solutions and to protect business resources.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8580","Secure Network Administration","Description: Most business software is used in a network environment, meaning that application specialists and security analysts need to be able to use best industry practices in network administration in order to manage secure networks and provide secure delivery of applications. Through hands-on exercises, students study the management of user and group hierarchies, as well as the configuration of logical networks in order to design security solutions to protect business resources.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8590","Network Components and Monitoring","Description: The security of applications is dependent on the design, topology and physical components of the networks on which they are served. This course consists of three major components: a study of the physical components (such as routers and switches) and topology of networks, TCP/IP protocol, and its implications for security, as well as network monitoring for performance and threats. These skills will aid graduates in developing security solutions for organizational security. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"21","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8600","Fundamentals of Cryptography","Description: In today's world, the proliferation of data is accelerating, and the secure transmission and storage of that data is essential. Many mainstream news stories revolve around the exposure of confidential information of organizations and individuals. Students will be introduced to the basic theory of encryption, including the principles, strengths and vulnerabilities of cryptography, and will apply that knowledge for two purposes: first, to assess encryption packages and the tools that use them, including email packages and messaging sites, for the purpose of transmission of sensitive data, and second, to use existing encryption library packages in order to incorporate encryption into software applications."
"22","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","INFO8620","Cyberlaw, Ethics and Privacy","Description: An important component of application and organizational security is the understanding of the rights and obligations of both the individual and the organization with respect to privacy and intellectual property. In this course students will explore ethics and law, including both Canadian law and the law of other jurisdictions, for the ways ethics and law inform the best practices of security professionals and organizations. Students will learn to assess the implications of new application development as well as the choice of supporting technologies, such as cloud computing, with respect to both vulnerabilities and liabilities of an organization. Students in this course will discuss topics such as Big Data, organized hacking, government surveillance, and industrial espionage.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"23","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","PROG8270","Software Application Security I","Description: Software applications are prone to vulnerabilities on many levels. In this course, students study vulnerabilities of web applications, including SQL injections, URL manipulations and backdoors. Students study current penetration testing techniques in order to assess, test and develop software applications with respect to security issues. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"24","Conestoga College Institute of Technology and Advanced Learning","Computer Application Security (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-application-security","Level 2","Level 2",NA
