"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","INFO1265","User Experience","Description: Because of the proliferation of different types of devices, the growing range of digital user interface technologies, and the increasingly competitive nature of the software industry, high-tech companies have come to understand the growing importance of the User Experience, and to value skilled professionals in this area. Thus, students are introduced to best current practices in interactive design, and will solve a series of design problems which draw on different types of devices and varying types of navigation controls, as applied to business and commercial applications. Students will consider competition, target markets, business models and technical challenges in order to gather requirements ,"
"5","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","MATH1910","Mathematics for Information Technology I","Description: The purpose of the course is to provide students with a sound mathematical foundation for logical reasoning and problem solving. The course stresses computer and business applications using equations, logic, sets, vectors, and data structures. The course includes applications such as cost-volume-profit analysis. The course is designed for IT students to help them translate everyday real world scenarios into mathematical concepts they can solve with computer systems and applications.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","PROG1245","Programming: Web Foundations","Description: In this course, students develop the skills needed to build static web sites."
"7","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","PROG1781","Programming Concepts I","Description: Software development programs depend on a strong foundation in programming concepts and logic. In order to develop programs that solve business problems, the student will use the programming concepts of data types, looping, decision making, modifying strings and arrays. Particular attention will be paid to problem solving techniques using flowcharting to design the logic of the program. The student will be introduced to techniques of desk checking, testing and debugging.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","INFO1380","Technology Infrastructure:","Networking"
"10","Conestoga College Institute of Technology and Advanced Learning","Computer Programming and Analysis (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-programming-and-analysis","MATH1920","Mathematics for Information Technology II","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions, and mathematics of computer applications."
