"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","CDEV1830","Career Success","Description: This course focuses on the skills needed to conduct a successful job search. Students will explore the labour market and identify trends that may impact their future careers. They will develop skills for an effective job search including networking, self-marketing documents and tools as well as interview skills. Mock interviews will provide the opportunity for practice, feedback and reflection as students prepare for future interviews. Students will develop a personalized job search plan to support their future careers. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","INFO1145","Information Technology Documentation Technologies","Description: Documentation is extremely important in the Information Technology field and takes many forms including work instructions, network diagrams, and service desk scripts to name a few. This course introduces many of the common documents used in IT. The student will learn proper formatting techniques for these documents and create documents using advanced features of common productivity tools. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","INFO1250","Computer Systems Fundamentals","Description: Participants of this course will gain a fundamental knowledge of computer hardware and related theory, gaining skills to identify how computers work and differentiate various hardware devices, and understand how hardware and software work together."
"7","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","INFO1385","Network Infrastructure I","Description: In this course the student will be introduced to broad networking concepts including protocols, topologies, transmission media and security, using hands-on examples of networking issues. The student will develop the knowledge to have meaningful dialogue regarding network technologies, and will begin to develop fundamental skills in configuring, supporting and troubleshooting network components and technologies.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","PROG1783","IT Support Programming Fundamentals","Description: The student will use a Graphical User Interface based programming language to develop programs to solve business problems. The programming concepts of data types, record structures, arrays, event driven processes and sequential files will be introduced. Particular attention will be paid to problem solving techniques such as pseudo code and flowcharting to design the logic of the program. The student will be introduced to techniques of desk checking, testing and debugging.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op)","https://www.conestogac.on.ca//fulltime/computer-systems-technician-information-technology-infrastructure-and-services","COMP1225","Database Systems","Description: This course introduces the student to the concepts of database management."
