"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CONS8000","Construction Risk Management","Description: This course covers the fundamental aspects of analytical tools including the basic processes of risk planning, risk identification, qualitative and quantitative risk analysis, risk response planning and risk monitoring and control. Tools and techniques of risk management will be studied and applied into small to major construction projects. Students will be required to complete a number of projects and apply risk simulation software.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CONS8010","Construction Planning and Scheduling","Description: The course covers in detail project planning, scheduling and control. Topics covered include: project charter, developing work breakdown structure (WBS) and statement of work; developing project schedule; assign resource; perform resource and time constrained scheduling; estimate project cost and prepare project cost baseline; project monitoring and control; scheduling under uncertainty and computer application in project planning, scheduling and control.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CONS8020","Construction Procurement and Contract Administration","Description: The first part of the course examines construction procurement processes and administration. Topics include: construction contracting methods, contractual relationship, types of contract, risk related to different contract type, request for proposal (RFP), bid invitation, bid evaluation, contract negotiation and award, contract administration. The second part of the course reviews practical application of basics of contract law as related to construction topics include:"
"6","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CONS8110","Construction Materials and Methods","Description: The course covers building construction systems in terms of materials, methods and technology. It reviews foundation types, structural systems of precast and pre-stressed concrete, steel and timber framing; building envelope: with more emphasis placed on exterior cladding and insulation materials, building science, curtain walls, window walls, glazing, roofing, mechanical, electrical, plumbing and sprinkler systems. In addition, it examines selection of materials, systems and methods in terms of their efficiency, life cycle costing and cost effectiveness. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CONS8210","Construction Job Site Management","Description: The course covers construction job site management from contractor's point view. It introduces students to duties and responsibilities handled by construction superintendent, construction engineer throughout the project progress from start to closeout. Topics covered are: site team roles, field office mobilization and administration, construction documents on the jobsite, and record keeping at the jobsite, jobsite layout and control, meeting, negotiations and dispute resolution, jobsite labour relations and control, managing time and materials, jobsite equipment use, operation, and maintenance, personnel and safety management, sustainable construction practices, changes and claims, progress payments, and project closeout. The course will have regular site visits (every three weeks) in order students to observe and see jobsite management in practice. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","ECON8050","Construction Economics and Financial Management","Description: The first part of the course is an introduction to the basics of project investment analysis. Topics covered include: Time value of money, Cash-flow analysis, decision making among alternatives, Break-even analysis, life cycle costing, depreciation, after tax cash flow, Inflation and risk analysis. The second part of the course focuses on fundamentals of financial accounting and topics covered: elements of accounting systems, accounting cycle, balance sheet, income statement, cashflow statement, and financial statement analysis.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Construction Management (Optional Co-op)","https://www.conestogac.on.ca//fulltime/construction-management","CODE8000","Ontario Building Code","Description: The course introduces students to Ontario Building standards, codes and regulations of design and construction. Emphasis will be on Part 3 buildings as defined by the Ontario Building Code including concepts of health and safety, building envelope and environmental separation, unique structural requirements and heating and energy conservation requirements."
