"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8000","Construction Risk Management","Description: This course covers the fundamental aspects of analytical tools including the basic processes of risk planning, risk identification, qualitative and quantitative risk analysis, risk response planning and risk monitoring and control. Tools and techniques of risk management will be studied and applied into small to major construction projects. Students will be required to complete a number of projects and apply risk simulation software.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8010","Construction Planning and Scheduling","Description: The course covers in detail project planning, scheduling and control. Topics covered include: project charter, developing work breakdown structure (WBS) and statement of work; developing project schedule; assign resource; perform resource and time constrained scheduling; estimate project cost and prepare project cost baseline; project monitoring and control; scheduling under uncertainty and computer application in project planning, scheduling and control.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8020","Construction Procurement and Contract Administration","Description: The first part of the course examines construction procurement processes and administration. Topics include: construction contracting methods, contractual relationship, types of contract, risk related to different contract type, request for proposal (RFP), bid invitation, bid evaluation, contract negotiation and award, contract administration. The second part of the course reviews practical application of basics of contract law as related to construction topics include:"
"6","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8060","Development Economics","Description: This course primarily is concerned with the property development, investment and finances."
"7","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8120","Quantity Takeoff and Measurement","Description: The course covers fundamentals of blue print reading, specifications, master format divisions and material takeoff. The takeoff methods of materials will be demonstrated using residential and commercial building.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8210","Construction Job Site Management","Description: The course covers construction job site management from contractor's point view. It introduces students to duties and responsibilities handled by construction superintendent, construction engineer throughout the project progress from start to closeout. Topics covered are: site team roles, field office mobilization and administration, construction documents on the jobsite, and record keeping at the jobsite, jobsite layout and control, meeting, negotiations and dispute resolution, jobsite labour relations and control, managing time and materials, jobsite equipment use, operation, and maintenance, personnel and safety management, sustainable construction practices, changes and claims, progress payments, and project closeout. The course will have regular site visits (every three weeks) in order students to observe and see jobsite management in practice. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8030","Cost Estimating and Bidding Procedures","Description: The course provides students the principles and methods in preparation of unit costs for materials, labour and equipment and preparation of total tender price. Topics covered include: methods of approximate estimating, the cost of resources, contract clauses and their effect on estimate, the calculation of unit rates and total project cost, contractual arrangements and documentation, bid preparation and closing.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8050","Construction Quality Management","Description: The main purpose of this course is to guide the student through the project quality management processes. Topics include quality planning, quality assurance, quality control, continuous quality improvement and integration of quality activities into project life cycle, tools and techniques of data collection, data analysis, statistical concepts and techniques in quality control and ISO 9000 series.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8070","Applied Environmental Law and Construction Safety","Description: This course provides an introduction to selected laws concerning environmental protection and construction safety. Key statutes, regulations and policies that relate to environmental management and construction safety in Ontario are examined in the context of industrial/commercial facilities, brownfields and new urban developments."
"13","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8080","Major Project in Construction Project Management","Description: This course is designed as a capstone project to enable students to apply and synthesize the material learned in other courses. Working in a team, students will select a project, submit a project proposal and prepare a detailed project report. Interim written reports and group presentations will be required."
"14","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","CONS8250","Professional Exam Preparation","Description: The course reviews the different project and construction management professional certifications related to the courses taken in the program. It mainly focuses on guiding students in the preparation of Certified Associate in Project Management (CAPM), Gold-Seal Certified (GSC) and Construction Estimator Certified (CEC) certifications. Enrollment in this course is limited to students who are in their final semester of the program.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Construction Project Management","https://www.conestogac.on.ca//fulltime/construction-project-management","MGMT8200","Leadership in Project Management","Description: This course addresses essential leadership skills such as: human resource management, communication management and leadership styles and skills in project management. Students will learn skills and techniques of organizational planning, staff acquisition, team development, team motivation and evaluation, conflict resolution, negotiations, effective communication and personal productivity skills.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
