"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","CARP1500","Carpentry Theory","Description: In this course students will be introduced to the field of carpentry by studying the history, origins and background of the carpentry trade. Common hand and power tools used in carpentry in the residential, industrial, commercial and institutional (ICI) sectors will be discussed along with approaches needed to complete small scaled carpentry projects. Topics include:"
"3","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","CARP1515","Carpentry Practice","Description: Students will apply the theory studied in Carpentry Theory in a shop environment through hands on practice and by completing small scale carpentry projects."
"4","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","COMP1358","Computer Applications","Description: This course will enable the student to create basic documents, spreadsheets, presentations, drawings, and websites and describe industry related apps. The student will also use technology to locate industry health and safety legislation, and training and certification requirements as would be required in the construction industry."
"6","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"7","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","MASO1120","Masonry Theory","Description: Students will be introduced to the field of masonry by studying the background of the trade as well as common hand and power tools used by a brick and stone mason. Residential, industrial, commercial and institutional (ICI) sectors will be discussed along with approaches needed to complete small scale masonry projects. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","MASO1485","Masonry Practice","Description: Through hands-on practice in a shop environment, students will apply the concepts studied in Masonry Theory by completing small scale masonry projects. Students will be instructed on the proper use of common masonry tools encountered on a construction site. Hours: 77Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques (Carpentry, Masonry, HVAC and Welding)","https://www.conestogac.on.ca/fulltime/construction-techniques-carpentry-masonry-hvac-and-welding","DRWG1375","Introduction to Print Reading","Description: Students are introduced to the basic principles of drafting and blueprint reading, including how to read basic construction drawings. Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
