"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","MASO1330","Masonry Safety","Description: This safety course provides information on safe and unsafe working conditions and practices on a typical masonry jobsite. You will learn the procedures for lifting, platform work. You will also learn to inspect the job site and determine hazards as well as recognize situations that are deemed unsafe in accordance with the Occupational Health and Safety Act. You will learn to address unsafe conditions to ensure public and worker safety near a job site. You will also learn how to select and safely use personal protective equipment (PPE) and other protective devices such as elevating scaffolds and ladders, both when working at ground level and at heights. This course combines classroom theory with job site practice.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","MASO1340","Masonry Theory 1","Description:"
"4","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","MASO1350","Masonry Practice 1","Description: In this course you will learn how to handle tools, equipment, material and supplies and will install masonry materials such as brick and concrete block. You will also be required to interpret drawings for masonry projects and demonstrate the ability to estimate materials and supplies to accepted standards. You will acclimatize a worksite to suit various weather conditions. You will be able to demonstrate the use and maintenance of basic hand tools, power tools and measurement and layout tools according to accepted trade practice. You will be able to prepare, apply mortar using best practice within the brick and stone trade and will demonstrate the ability to work with mason's tools when laying brick and block. Hours: 168Credits: 8Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","MATH1230","Mathematics for the Trades","Description:"
"6","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","Level 2","Level 2",NA
"7","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","ENTR1080","Entrepreneurship","Description: In this course you will learn about business ownership including how business operates, forms of business and the role of government in small business."
"9","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","MASO1360","Masonry Theory 2","Description: In this course you will learn about each of the sectors of masonry, Restoration, Refractory, Residential and ICI. You will employ techniques for interpreting architectural drawings and related documents and contracts.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Construction Techniques - Brick and Stone","https://www.conestogac.on.ca/fulltime/construction-techniques-brick-and-stone","MASO1370","Masonry Practice 2","Description: In this course you will become skilled with masonry hand tools. You will practice geometry during the construction of both rough and gauged masonry arches. You will learn and apply proper techniques to apply thin stone veneer to ensure quality and durability of the products used. You will learn to cut and dress stone for use in walls and columns as well as proper placement and bonding rules. You will take part in masonry restoration projects to identify and repair failures within masonry structures. Hours: 196Credits: 8Pre-Requisites: CoRequisites:"
