"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","CDEV1840","Career Discovery","Description: This course focuses on career exploration and decision making. Students will evaluate their interests, values, skills and abilities through assessment tools and explore the labour market to identify employment trends aligned to their strengths."
"3","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","COMM1365","Communication Essentials","Description: This course introduces students to the verbal and written communication skills required for success in their future studies and in the workplace."
"4","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","COMM1535","Team Dynamics and Interpersonal Skills","Description: This course introduces students to the interpersonal skills required for success in the workplace. Students will learn the team structures, role types, and behaviours that inform interpersonal strategies and techniques. Students will learn strategies for working with and communicating with others to prevent and resolve conflicts in the workplace. Students will practice forming teams to complete workplace tasks.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","COMP1134","Introduction to Computers","Description: This course introduces students to the computer skills required for success in the workplace."
"6","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"7","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","ETR1140","Student Success Strategies","Description: This course provides students with an introduction to the post-secondary environment and expectations of college level learning. Students will be oriented to the services available from Conestoga to support them in their studies and enhance their college experience. Students will learn and develop academic and personal skills required for success in a post-secondary program."
"8","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","ETR1410","Human Resources in the Workplace","Description: This course introduces students to their rights and obligations in the Ontario workplace. Students will learn concepts of organizational structure common to a variety of workplaces to aid in orienting upon entry to a job. Students will be introduced to the laws and regulations that protect workers and guide workplace practices. Students will explore current issues in the workplace in Ontario and discuss how these issues may affect their employment.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","MATH1165","Math Fundamentals for the Workplace","Description: This course will provide the student with learning tools that will help them to improve basic arithmetic skills and to develop reasoning and problem solving skills. It is designed for students to help them bridge any existing gap between their current preparation and the mathematics required for success in the workplace.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","Level 2","Level 2",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","COMM1375","Business Communications Essentials","Description: This course provides students with the skills required to create professional written business correspondence required for office clerical tasks and regular workplace communication."
"13","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","COMP1189","Microsoft Applications for the Workplace","Description: This course provides students with the skills required to complete common workplace tasks in Microsoft Word, Excel, PowerPoint, and Outlook."
"14","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","COMP1194","Microsoft Applications for Data Management","Description: This course provides students with the skills required to organize and manage data in Microsoft Excel and Microsoft Access."
"15","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","ETHS1010","Diversity, Ethics and Conflict Resolution","Description: This course provides students with the skills and strategies required to interact with customers in a professional and appropriate manner in a variety of situations."
"16","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","ETR1220","Job Search and Employability Skills","Description: This course provides students with the knowledge and skills required for success in industry-targeted job search and in job maintenance. Students will learn to target job search activities and documents to an industry or employer of interest. Students will improve their interview skills through in-depth practice and industry-specific preparation. Students will learn essential self-management and workplace behaviour skills to promote job retention and success in the workplace."
"17","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","FPLT1460","Field Placement (Data Processing and Reporting)","Description: Students will apply their knowledge and consolidate their skills in a workplace related to their program of study."
"18","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","INFO1135","Data Integrity and Organization","Description: This course provides students with the skills required to conduct efficient and accurate data entry."
"19","Conestoga College Institute of Technology and Advanced Learning","Data Processing and Reporting","https://www.conestogac.on.ca/fulltime/data-processing-and-reporting?v=2001","MKT1550","Digital Marketing Data Support","Description: This course introduces students to the use of social media and online resources for digital marketing and data analysis."
