"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1100","Introduction to Design","Description: Using a variety of tools and visual exercises this course will introduce students to organizing elements and principles of two-dimensional design. Students will build technical skill as well as design knowledge."
"3","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1110","Creative Process I","Description: This course will explore the theories behind creativity and ideation, and will draw inspiration from a variety of sources including psychology and historical influence. Research, brainstorming, lateral and divergent thinking, inspiration, writing, mind mapping, and drawing will be explored and utilized to generate ideas and solve design problems."
"4","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1125","Life Drawing","Description: This drawing course will introduce students to the practice of Life Drawing and will help build an understanding of proportion and basic human anatomy. Students will learn traditional observational drawing techniques while working with live nude models in both short and sustained poses. Concepts such as armature, gesture, contour, tonal shading, and cubic form will be employed as students create increasingly more complex observational drawings. Students will use traditional drawing media to complete both in-class and take-home projects to develop their skillset and build their portfolio. Life Drawing is a portfolio requirement for many programs and is an excellent addition to any portfolio.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1800","Introduction to Digital Design","Description: This course is an introduction to digital design software and builds on the skills developed in Intro to Design. The emphasis of this course is on applying the elements and principles of design to solve visual problems using digital tools."
"6","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","COMM1825","Foundations in Writing","Description: This course will review and develop the student's writing skills as they relate to the workplace. Students will learn how to convey a message and create audience interest. Sentence structure, grammar, punctuation and the rules of composition will be covered. An introduction to research techniques and resources through project-based learning will form the basis for applications in other courses in the program of study.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","COMM1835","Foundations in Presentation Skills","Description: This course will provide students an opportunity to develop and hone their presentation skills through a variety of practical scenarios. Students will begin to produce materials that will contribute to their personal portfolios. Both individual and group work will be utilized in the development of visual and verbal presentationsHours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"9","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1130","2D and 3D Design","Description: This course builds upon design skill and involves discussion and practical application around both two-dimensional and three-dimensional design. Projects will explore terminology commonly used in two-dimensional and three-dimensional art and design including the elements and principles of design. Conceptual ideas of form will be developed through a series of lectures, images, and studio projects. Exercises will explore and utilize a variety of tools, materials, and techniques."
"11","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1160","Digital Production","Description: In this course students will learn to create digital designs from concept to completion, and will create press and web ready files using industry software. Through a series of exercises and projects, students will further develop their visual literacy by applying the creative process and design theory to the digital environment. Students will develop an understanding of the production processes and procedures related to print and web applications and gain a working knowledge of technical requirements and efficiencies associated with the design and production process.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1820","Creative Process II","Description: This course is a continuation of ARTS1110 – Creative Process I and further explores the theories associated with the development of creative ideas. This course will allow students to strategize and engage with the creative processes of the industry."
"13","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","ARTS1830","Illustration","Description: In this course students will further develop drawing skill and continue to create more professional portfolio pieces with an emphasis on a variety of illustrative techniques. Traditional freehand drawing and painting media such as acrylic, watercolour, ink, pencil crayon, and conte are studied with more emphasis on self-exploration and inspiration from other artists."
"14","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","COMM1730","Strategic Writing","Description: This course builds off basic writing skills with a focus on persuasive writing for the design and communication field. Applications will include content creation, advertising, and promotion. Through lectures, discussion, research, in-class exercises and take home assignments students will implement written communication strategies into a variety of industry inspired or self-promotion projects.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Design Foundations","https://www.conestogac.on.ca/fulltime/design-foundations","HIST1040","A Concise History of Design","Description: This course will give students an overview of predominant periods and key individuals that have impacted design in a variety of fields."
