"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","COMM8430","Language Fundamentals for Resource Consulting","Description: This course provides opportunity for students to expand on reading, writing, listening and speaking skills required for professional practice as an early childhood resource consultant. Through interactive classroom experiences, this course takes a scenario-based approach, providing students opportunity to enhance and apply their language and communication skills relevant to professional practice. Emphasis will be placed on enhancing documentation skills for professional practice.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","ECE8300","Working With Complex Families","Description: This course will focus on the role of the Resource Teacher/Consultant in fostering partnerships with families that are meaningful, co-operative, professional and productive. Emphasis will be placed on applying family centered practice theory in everyday interactions with families. Strategies for enabling families that recognize diversity and are sensitive to cultural, racial, social, and economic differences will be explored. The student will gain a comprehensive view of the strengths and needs of each of the family members, as a basis for providing individualized and inclusive interventions and supports to the family and their child with exceptionalities.Hours: 36Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","ECE8310","Issues In Resource Teaching","Description: This issues-oriented course examines topics related to the role and function of the Resource Teacher/Consultant including the holistic approach to early childhood education. For children with exceptionalities and their families, inclusion and the impact of current legislation on the early learning and care and education of children within an inclusive environment are reviewed."
"6","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","ECE8320","A Developmental Approach","Description: The course will build upon prior knowledge of child development for typically developing children and further develop knowledge and skills that relate to children with exceptionalities."
"7","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","FPLT8400","Field Placement 1 (ECE Resource Consulting)","Description: This field placement experience introduces students to the work of ECE resource consulting. Building on prior skills and knowledge, students will examine current legislation, policies and evidence-informed practices and reflect on how the role of the RECE and ECE Resource Consultant complement each other to support children living with special needs and their families. They will demonstrate collaborative professional practices as they promote and advocate inclusive policies and environments."
"8","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","COMM8440","Inter-professional Language Collaboration for Resource Consulting","Description: The focus of this course is communication skills that promote effective and collaborative relationships in professional practice as an early childhood resource consultant. Through integrative classroom experiences, students will consolidate their language and communication skills applying them to scenarios relevant to professional practice as a resource consultant. Emphasis will be placed on enhancing language proficiency related to consultation, service coordination and referrals to prepare students to communicate effectively as a member of inter-professional team.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","ECE8330","Screening Assessment And Determining Factors","Description: This course focuses on a variety of screening and functional assessment tools that are used in assessing the developmental levels of children 0-6 years of age."
"12","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","ECE8340","Inclusive Program Planning","Description: This course is designed to familiarize the learner with the principles of the program planning process."
"13","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","ECE8350","Community Advocacy And Resource Co-Ordination","Description: This issues-oriented course examines topics related to the role and function of the Resource Teacher/Consultant including the holistic approach to early childhood education. For children with special needs and their families, inclusion and the impact of current legislation on the care and education of children within an inclusive environment are reviewed."
"14","Conestoga College Institute of Technology and Advanced Learning","ECE Resource Consultant International","https://www.conestogac.on.ca//fulltime/ece-resource-consultant-international","FPLT8410","Field Placement 2 (ECE Resource Consulting)","Description: This field placement experience extends the students' understanding of the role of the ECE Resource Consultant. Working as a member of the service team, students act in accordance with legislative regulations, agency policies and professional standards. They will demonstrate family-centred strategies as they guide families to navigate potential supports and services and make recommendations that support the healthy development of children living with special needs. Through the use of reciprocal communication and evidence-informed practices, they will apply the principles of adult learning in order to co-ordinate and facilitate case management meetings, educational opportunities and referral discussions. They will reflect upon their consultation practices, evaluate strengths and challenges, and create a plan for further professional development. Hours: 150Credits: 5Pre-Requisites: FPLT8400CoRequisites:"
