"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","ECE1750","Introduction to Curriculum","Description: The facilitation of effective curriculum in an early learning and care setting for children ages, 2-5 will be explored."
"4","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","ECE1765","Developmentally Responsive Practice","Description: Elements of effective curriculum planning and implementation in early learning and care environments will be explored."
"5","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","ECE2170","Advanced Development","Description: This course expands the study of child development across the ages of infants, toddlers, preschoolers and school-age children. The biologically determined characteristics"
"6","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","ECE2180","Teamwork in Professional Practice","Description: This course explores professional practice in the context of a collaborative early learning team that embraces a commitment to team work, respect and social justice. Students will identify the variety of members who make up the early learning teams and analyze the scope of practice and the unique contributions of each member in supporting the child and the family. Through self-reflection and analysis of professional documents, students will critique and practice effective strategies for initiating and maintaining reciprocal and positive relationships with members of the early learning team."
"7","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","FPLT1390","Field Placement II (Early Childhood Education)","Description: This field placement experience provides opportunity for students to integrate theory with practice as they develop their skills with children of all ages and families in early learning settings. Students will observe children's abilities, interests and ideas in order to examine, select and implement professional practice skills in the areas of human qualities, communication, professionalism, and curriculum. They will establish responsive relationships with children, families and colleagues through program participation. In addition, they will demonstrate the principles of early learning pedagogy as they design, implement and reflect upon inclusive, play-based early learning curriculum with individual children and groups of children. Hours: 182Credits: 6Pre-Requisites: ECE1380 or FPLT1380CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Early Childhood Education Fast Track (ECE)","https://www.conestogac.on.ca/fulltime/early-childhood-education-fast-track-ece?v=2001","ECE1055","Health Safety & Nutrition","Description: This course will address the interrelationship of health, safety, and nutrition for children of all ages and age groups."
