"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","ECE71000","Human Growth and Development: The Early Years","Description: Human growth and development will be examined through the lens of current research, and the major theories that influence it."
"4","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","ECE71010","Designing Responsive Curriculum in the Early Years","Description: This course will introduce students to the principles of learning centered curriculum approaches. With a view to designing engaging and responsive learning opportunities, students will explore the various definitions of curriculum, the role of play, environment design, and the role of the educator. Observation will be intentionally connected to designing and implementing responsive learning opportunities.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","FPLT71025","Field Placement I (BA Early Learning Program Dev)","Description: With a focus to situating students in professional settings, this course will introduce students to various practice options in the community. Students will document the philosophical frameworks that shape programs and the practices that support them. Through reflective classroom opportunities, they will discuss, review and connect these frameworks with course material. In addition, students will begin the creation of a learning portfolio that will chronicle their learning process in the program and facilitate their reflections of learning about the field.Hours: 133Credits: 5Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","OHS71320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","SOC71500","Group Dynamics","Description: This course will focus on comprehensive theoretical understanding of group process, personal skill development and application through intensive team work. These skills are of critical importance in both professional and social settings."
"8","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: Interdisciplinary","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"9","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","ECE71030","Human Growth and Development: The Later Years","Description: Expanding on content covered in Human Growth and Development: The Early Years, students will be challenged to examine how major theories and current research influence development over the later part of the lifespan."
"11","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","FPLT71045","Field Placement II (BA Early Learning Program Dev)","Description: This professional engagement experience will provide students with an opportunity to relate theory and practice to develop their capabilities by working with children and families in community based early learning and care settings. Reflective classroom opportunities will emphasize exploring the nature of evidence that supports promising practices in settings which promote respect for diversity, equity and inclusion. Emphasis will be placed on documenting and recording observable child development and practices using a variety of techniques and methodologies. Students will continue to chronicle their learning through the professional portfolio.Hours: 165Credits: 6Pre-Requisites: ECE71010, ECE71025 or FPLT71025CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","SOCS71000","Child, Family and Society","Description: Family, school, and community environments are among the many factors that shape individual's lives and are influenced by wider social, economic, and political factors. Through analysis of the diversity among children and families, students will discuss and review how these contexts shape, enhance, and/or limit opportunities for healthy development across the lifespan.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","SOCS71010","Diversity and Social Inclusion in Program Development","Description: This course will explore the concepts of diversity and social inclusion within a broad social context and connect those concepts with early learning and care programs. Through analysis of diversity and self-reflection, students will examine the definitions of diversity and the enablers and barriers to social inclusion. Building on the principles of responsive curriculum design, students will create strategies that support diversity and social inclusion in early learning classrooms, and program policies."
"14","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: Interdisciplinary","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"15","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Level 3","Level 3",NA
"16","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","ECE72050","Health and Wellness in Early Learning Community Programs","Description: This course introduces students to the value of health and wellness of children, families and of the professionals who work with them. Students will analyze the interrelationships of health, safety and nutrition in the overall wellness of children, families, and the professionals who work with them. With a focus on prevention and recognition of illness and injury in group care, wellness practices appropriate for children will be addressed. In addition, indicators of abuse will be examined and the reporting role of professionals will be defined.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","EDUC72000","Curriculum Studies and Program Design","Description: Building on the historical and philosophical influences in education, students will explore curriculum approaches in the field of early education and discuss the social values and research evidence that shapes them. Students will compare and contrast the philosophical and practical elements of the approaches and debate their values and limitations. Finally, students will illustrate the application of these curriculum approaches to program design.Hours: 42Credits: 3Pre-Requisites: ECE71010CoRequisites: ECE72065, FPLT72065"
"18","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","EDUC72010","History and Philosophy in Learning and Education","Description: This course introduces students to the historical and philosophical influences of early childhood education. Students will become acquainted with the history of childhood and the key philosophers and theorists that have influenced early learning and education. Through examinations of views of children through the centuries, students will review and discuss values and practices related to the education of children from ancient times to the present.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","FPLT72065","Field Placement III (BA Early Learning Program Dev)","Description: This course focuses on inquiry based understanding of observable practices, observable child development, and program and curriculum design."
"20","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: Interdisciplinary","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"21","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Level 4","Level 4",NA
"22","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","ECE72070","Integrative Learning and Curriculum Design","Description: This course will challenge students to consider the integrated nature of learning and relate that to curriculum design. Students will assess the benefits and limitations of teaching singular concepts and subjects with the benefits and limitations of supporting integrative concept development through learning centres, play experiences, and projects that reflect current interests of children. Through observation of children's interests and suggestions, students will develop strategies that guide children's involvement through integrative learning, and illustrate authentic approaches to describe and evaluate that learning.Hours: 42Credits: 3Pre-Requisites: ECE71010, EDUC72000CoRequisites: ECE72085, FPLT72085"
"23","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","EDUC72020","Contemporary Perspectives in Early Learning Community Practice","Description: Students will explore contemporary perspectives of early learning and community practice within an interprofessional framework. Students will analyze current social, political, and economic trends and issues through national and international perspectives."
"24","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","FPLT72085","Field Placement IV (BA Early Learning Program Dev)","Description: This professional engagement experience will provide students with a continued opportunity to relate integrative learning with curriculum design by working with children and families in community based settings."
"25","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","PHIL72900","Principles of Ethical Reasoning","Description: This course is intended to acquaint students with the intellectual tradition of moral philosophy and help them develop practical analytic and critical skills through reading, writing, and discussion. This course focuses on ethical issues faced by individuals in Canadian society. It helps students to clarify their values and establish a framework for ethical decision making. Students will explore a variety of moral issues such as euthanasia, abortion, minority rights, racism, bio-medical technology, capital punishment, pornography, discrimination, poverty, environment and war. These questions do not admit of easy answers, because there are often plausible-sounding moral reasons to be given on each side of the matter. In part because of this, there is a tendency to want to set them aside as unanswerable, as just a matter of opinion. Yet they cannot be ignored. Rather, these questions require that we think hard about them and address them carefully, and that we explore various underlying presuppositions that we often accept uncritically. As a result, this is a course in which we will focus on and practice the skill of critical thinking, and learn to express carefully, verbally and in writing, our reasoning for a given position.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"26","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Electives: Interdisciplinary
      
      Student must complete a minimum of 42 Hours","Electives: Interdisciplinary","Student must complete a minimum of 42 Hours"
"27","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","Level 5","Level 5",NA
"28","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","CEPR71050","Co-op and Career Preparation","Description: This series of modules prepares degree level students for job searching for their co-op work terms and for their future careers. Students will examine the co-operative education policies and procedures and will learn the expectations, rules, and regulations that apply in the workplace concerning social, organizational, ethical, and safety issues while deepening their awareness of self-reflective practices. Students will critically reflect on their skills, attitudes, and expectations and evaluate available opportunities in the workplace. Successful completion of these modules is a requirement for co-op eligibility.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"29","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","FPLT73005","Field Placement V (BA Early Learning Program Dev)","Description: The emphasis on this professional engagement course is on an inquiry based understanding of child, family and community literacy."
"30","Conestoga College Institute of Technology and Advanced Learning","Early Learning Program Development (Bachelor of) (Honours) (Co-op)","https://www.conestogac.on.ca/fulltime/bachelor-of-early-learning-program-development-honours","HIST73200","A History of Living Memory: North America since 1945","Description: This advanced level breadth course is a critical assessment of the post-war events and influences that shaped modern North American society."
