"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC1550","Role of the Educational Assistant","Description: Through a lens of professional relationship building and communication, students will examine the roles and responsibilities of the Educational Assistant as a member of the multi-disciplinary educational team."
"5","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC1560","Student Growth and Development","Description: This course introduces students to human development theories, covering concepts of child and youth development related to social, physical, emotional, psychosocial and communication domains. The contribution of theorists and research will be examined as it relates to practices in supporting student learning. Students will explore the concepts and theories of educational psychology that have been influential in creating supportive teaching methods and educational practices and will differentiate learning opportunities for varying developmental levels and ages of students. This course is part of the Educational Assistant program.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC1570","Introduction to Exceptionalities","Description: This course will introduce students to a range of exceptionalities in educational settings associated with categories of behavioural, communicational, intellectual, physical and multiple exceptionalities. Students will review, describe and compare characteristics of the range of exceptionalities related to each of the categories and will discuss how assistive technologies and daily living aids support student learning and independence."
"7","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC1630","Introduction to Practice: Educational Support","Description: This course will prepare students to participate in field placement by introducing them to the day-to-day activities of the practice of Educational Assistants. Elements of a cohesive classroom, developing professional communication skills and strategies to establish positive relationships in educational settings are emphasized through class experiences. With a view to supporting learners with exceptionalities, students will be introduced to differentiated learning strategies, the purpose and elements of an IEP and the role of EA's in their development and implementation.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","COMM1305","Professional Communication","Description: With a view to developing professional communication strategies, this course will enable students to learn how to effectively communicate with teachers, administrators and parents as emerging professionals. Professional presence, including appearance, verbal and non-verbal communication skills, attitude and etiquette will be reviewed as students will develop hand-on experience through presentations, mock interviews and communication assignments. This course is part of the Educational Assistant program.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC1590","Principles of Learning","Description: With a particular focus on supporting learners with exceptionalities, this course will provide students with an understanding of the principles of learning that guide educational instruction. Students will be introduced to the principles of universal design for learning and will examine how these principles correspond with various exceptionalities. Students will learn various observational techniques to monitor, document, and report on the behaviour and progress of learners. In addition, students will examine differentiated learning and its role in educational settings. This course is part of the Educational Assistant program.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC1600","The Exceptional Learner","Description: Building on the foundational information from Introduction to Exceptionalities, this course will focus on examining and creating strategies that support the exceptional learner. Students will deepen their understanding of learner needs under the categories of behavioural, communicational, intellectual, physical, and multiple exceptionalities. In addition, they will broaden their definition of exceptional learners to include gifted students and students for whom English is a second language, and will explore educational strategies to support their learning. This course is part of the Educational Assistant program.Hours: 42Credits: 3Pre-Requisites: EDUC1570CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","FPLT1610","Field Placement 1 (Educational Support)","Description: Through a combination of classroom seminar and field experience, this course will strengthen students understanding of the fundamentals of practice as Educational Assistants. Working as members of educational teams, students will engage in the development and application of differentiated learning to support various exceptional learners."
"14","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Electives: General Education
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: General Education","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"15","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Level 3","Level 3",NA
"16","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC2150","Supporting Students with Behavioural Exceptionalities","Description: This course will challenge students to create and examine strategies for supporting students with behavioural exceptionalities. They will describe and analyze learner characteristics associated with behavioural exceptionalities and explain their relationship to educational environments. Theories and disciplines related to a variety of behavioural exceptionalities will be discussed as students design, examine and evaluate preventative and non-physical interventions for supporting students with behavioural exceptionalities, including behaviour tracking templates that may be a part of data tracking assessment and treatment protocol."
"17","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC2160","Supporting Students with Autism Spectrum Disorder","Description: This course will provide students with an in-depth overview of Autism Spectrum Disorder including related provincial legislation and school policy. Classification and etiology of the five major syndromes of the Autism Spectrum disorder (ASD) including Autism, Asperger Syndrome, Rett Syndrome, Childhood Disintegrative Disorder and Pervasive Developmental Disorder will be explored. Characteristics and management of behaviour will be examined and explained using Applied Behaviour Analysis principles as students review, and examine evidence-based practices in the field of Autism. This course is part of the Educational Assistant program.Hours: 42Credits: 3Pre-Requisites: EDUC1600CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC2170","Supporting Communication through Assistive Technology","Description: This course will explore various assistive technologies that augment the functional capabilities of learners with exceptionalities to support their communication and independence. Students will discuss the roles of assistive technology and daily living aids in their ability to promote independent participation of learners in the learning process. They will develop skills in the use of a range of devices that include, but are not limited to, reading aides, listening aids, speech and augmentation aids, writing and keyboarding aids, digital media and computer access aids. This course is part of the Educational Assistant program.Hours: 42Credits: 3Pre-Requisites: EDUC1600CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","FPLT2280","Field Placement 2 (Educational Support)","Description: Through a combination of classroom seminar and field experience, this course will sharpen students understanding of the practice of Educational Assistants as they expand their skills. Continuing to work as members of educational teams, students will engage in the development and application of differentiated learning to support various exceptional learners."
"20","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"21","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Level 4","Level 4",NA
"22","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC2190","Team Work and Collaboration","Description: Teamwork and collaboration are essential in creating a positive work environment in educational settings. Educational Assistants are required to work in a high paced environment that requires teamwork and collaboration. Through this course students will examine and demonstrate the principles of team work and collaboration. They will reflect on their own practices to create and evaluate techniques to resolve issues in classroom situations that are respectful and supportive of learners. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"23","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC2200","Empowering Students Through Integrated Learning","Description: With a view to facilitating learner independence in educational settings, this course will challenge students to integrate course knowledge and practice experience as they promote positive and pro-social behaviour to contribute to safe and respectful learning environment for all learners. Students will review and reflect on their role as Educational Assistants in developing and implementing strategies in appropriate use of assistive technologies, daily living aids, and differential learning strategies in accordance with learning plans. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"24","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","EDUC2210","Supporting Students with Physical and Medical Exceptionalities","Description: This course will provide students with knowledge and techniques to work with children with physical and medical exceptionalities in educational settings. Students will review the various medical exceptionalities learners may present, and will demonstrate strategies for supporting them. In addition, students will demonstrate the use of safe handling, positioning and transferring techniques, including body mechanics to support learners. As a component of this course, students will be introduced to the care and use of assistive devices and mobility aids required to support learners."
"25","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","FPLT2290","Field Placement 3 (Educational Support)","Description: Through a combination of classroom seminar and field experience, student will continue to strengthen their skill and practice as Educational Assistants. Through guided discussion and reflective strategies, they will integrate the knowledge accumulated through classroom experience to create an intentional professional plan for their practice. Continuing to work as members of educational teams, they will engage in the development, the application and evaluation of differentiated learning to support various exceptional learners."
"26","Conestoga College Institute of Technology and Advanced Learning","Educational Support","https://www.conestogac.on.ca/fulltime/educational-support","Electives: General Education
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: General Education","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
