"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","COMP1673","Computer Applications","Description: This course is an introduction to various software packages used for word processing, spreadsheets and presentations."
"4","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","DRWG1365","Drawing I","Description: This course is an introduction to computer aided drafting and design."
"6","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","EECE1520","Electrical Principles","Description: This is the first course in Electrical Principles."
"7","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","EECE1545","Electrical Skills I","Description: This project course is designed to introduce basic engineering practice, simple design, technical drawings and skills required in the industry."
"8","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","ELEC1870","Introduction to Digital Electronics","Description: This course begins with an introduction to the concepts of logic and analysis as used in problem solving."
"9","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","INST1000","Electrical Measurement","Description: This course introduces students to a wide variety of instruments that are used in both the electrical and electronic fields. Topics will include both Analog and Digital Voltmeters, Ohmmeters and Ammeters, as well as Grounds, Oscilloscopes and Signal Generators. How measurements are taken, accuracy of measurements, calibration and contruction of the most commonly used pieces of test equipment.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Electrical Engineering Technician","https://www.conestogac.on.ca/fulltime/electrical-engineering-technician","MATH1880","Mathematics I (Electrical)","Description: This course is oriented towards the direct application of mathematical techniques to electrical and electronic fundamentals. The topics include algebraic manipulation, graphs, complex algebra and vectors, linear and quadratic equations, engineering and scientific notation.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
