"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","EECE1200","Electronics Engineering Skills","Description: In this laboratory course, students build an electronic prototype product using skills aquired in this course and other courses in the first semester. Topics include: electronic and mechanical prototype assembly techniques, soldering, and troubleshooting.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","EECE1290","Digital Electronics I","Description: This course introduces the student to the basic concepts of digital design mainly focused on combinational circuits. Topics covered include: intro to programmable logic and VHDL, number systems, logic gates, Boolean algebra and logic simplification, combinational logic, logic functions with combinational circuits.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","EECE1315","DC Circuits","Description: This course lays the foundation for all other courses in the program. It introduces the student to basic electrical concepts including atomic structure, electrical flow in conductors, electric and magnetic fields, the three basic electrical components: resistance, capacitance, and inductance, and how they interact, and circuits energized by direct current (DC) sources. Topics covered include: voltage and current sources; Ohm's Law, Kirchhoff's Laws, and other laws that relate resistance, capacitance, inductance, reactance, voltage, current, power, and energy; series, parallel, and combination circuits; and methods of analysis and network theorems.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","MATH1117","Mathematics I (Electronics)","Description: This course is oriented towards applications of mathematical theory and techniques to analyze and solve fundamental engineering problems. Topics covered include: basic algebraic operations, geometry, functions and graphs, trigonometric functions, systems of linear equations, factoring and fractions, quadratic equations, vectors, exponents and radicals, complex numbers, exponential and logarithmic functions.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","PROG1955","Programming I","Description: This course will introduce the student to the C programming language."
"9","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Electronics Engineering Technology  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/electronics-engineering-technology","EECE1047","Electronics I","Description: This course introduces students to the characteristics of diode, bipolar junction transistor (BJT) and field effect transistor (FET) semiconductor devices and their applications in basic electronic circuits. Topics include: basic semiconductor theory, diode static and dynamic characteristics, introduction to different types of diodes, diode clipping and clamping circuits, rectification and linear DC power supplies, Zener diode voltage regulator design; BJT and FET characteristics, basic transistor circuits, DC biasing methods; transistor switching operation and its application to digital switching circuits, introduction to small-signal transistor models; single stage amplifier design, AC and DC load lines.Hours: 70Credits: 5Pre-Requisites: EECE1310 or EECE1315CoRequisites:"
