"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","EECE8005","Digital Design Principles","Description: This course covers the design and modeling of digital hardware systems using a hardware description language. Topics include: digital circuit design, logic synthesis and verification, the electronic properties of logic gates, electrical interfacing between logic families, asynchronous to synchronous interfacing, clock distribution and timing. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","ELCN8005","Electronics Design Principles","Description: This course covers practical electronic circuit design, prototyping and testing, including amplification, voltage regulation, clock generation, sensor and signal conditioning circuits, power supply design and other electronics topics which are important in embedded systems design.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","ENTR8040","Entrepreneurship","Description: Individual and group work will be used to explain and evaluate all aspects of business activities."
"6","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","PROG8125","Embedded Programming Principles","Description: This course covers software design and implementation using the C language. Topics include: algorithm design, modular code design, programming style, functions, arrays, pointers, strings, data structures, and input/output. Emphasis will be placed on the use of these techniques for embedded software development, including the use of embedded development tools.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","Level 2","Level 2",NA
"8","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","CNTR8005","Hardware/Software Interfacing","Description: This course introduces concepts associated with the interface of external hardware to embedded systems, and the software control of such hardware. Topics include bus structures such as I2C, SPI, CAN, parallel and serial interfacing, GPS and other embedded communications technologies. Applications involving the design of interfaces and control software for stepper motors, sensing devices and communications are developed.Hours: 56Credits: 4Pre-Requisites: EECE8000 or EECE8005, PROG8125CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","EECE8010","Embedded Systems Hardware Design","Description: This course covers the design and implementation of a microcontroller-based embedded target system. The circuit design, fabrication, assembly and testing of a multi-layer printed wiring board assembly for a specified embedded control and communication application is studied.Hours: 56Credits: 4Pre-Requisites: EECE8005, ELCN8005CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Embedded Systems Development (Optional Co-op)","https://www.conestogac.on.ca//fulltime/embedded-systems-development","PROG8130","Data Structures and Algorithms for Embedded Programming","Description: This course emphasizes software design and implementation that make use of efficient and effective data organization. Essential data structures are discussed, analyzed, and implemented in the context of embedded software development."
