"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","COMP1673","Computer Applications","Description: This course is an introduction to various software packages used for word processing, spreadsheets and presentations."
"4","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","DRWG1365","Drawing I","Description: This course is an introduction to computer aided drafting and design."
"6","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE1520","Electrical Principles","Description: This is the first course in Electrical Principles."
"7","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE1545","Electrical Skills I","Description: This project course is designed to introduce basic engineering practice, simple design, technical drawings and skills required in the industry."
"8","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","ELEC1870","Introduction to Digital Electronics","Description: This course begins with an introduction to the concepts of logic and analysis as used in problem solving."
"9","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","INST1000","Electrical Measurement","Description: This course introduces students to a wide variety of instruments that are used in both the electrical and electronic fields. Topics will include both Analog and Digital Voltmeters, Ohmmeters and Ammeters, as well as Grounds, Oscilloscopes and Signal Generators. How measurements are taken, accuracy of measurements, calibration and contruction of the most commonly used pieces of test equipment.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","MATH1880","Mathematics I (Electrical)","Description: This course is oriented towards the direct application of mathematical techniques to electrical and electronic fundamentals. The topics include algebraic manipulation, graphs, complex algebra and vectors, linear and quadratic equations, engineering and scientific notation.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","Level 2","Level 2",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","DRWG1415","Drawing II","Description: This course is a continuation of Drawing I and has more emphasize on 2D drawings and some 3D modelling. Practical assignments will supplement the theory of other courses.Hours: 28Credits: 2Pre-Requisites: DRWG1365CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE1140","Electrical Fundamentals (Power)","Description: This is the first course in electrical power devices."
"14","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE1455","Electrical Skills II","Description: This project course is designed to introduce basic engineering practice, simple design, technical drawings and skills required in the industry."
"15","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE1590","Mechanical and Energy Fundamentals","Description: This course provides the student with an introduction to the energy sector including politics, policies, citizenship and the environment."
"16","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","INST1015","Introduction To Instrumentation","Description: This course introduces the student to a wide variety of instruments as used in the electrical, electronic and process control industries."
"17","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","MATH1895","Mathematics II (Electrical)","Description: This is a continuation of Mathematics I and provides for a sound understanding and continued development of trigonometry, algebra, and graphing as related to Electrical.Hours: 56Credits: 4Pre-Requisites: MATH1880CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","PHYS2010","Magnetic Circuits","Description: Magnetic Circuits introduces the student to the fundamental concepts of magnetism. Magnetic theory is established by investigating the properties of magnetic material and the interaction of currents and magnetic fields."
"19","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"20","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","Level 3","Level 3",NA
"21","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","CNTR2180","Programmable Logic Controllers I","Description: This course introduces the student to the use of modern manufacturing techniques that programmable controllers allow."
"22","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE2070","Electrical Projects","Description: This course is designed to give the student the skills and knowledge necessary to complete common repairs to electrical machines and electro-mechanical equipment."
"23","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE2100","DC Test Floor Practice","Description: D.C. test floor practice is designed to provide the student with the skills and knowledge necessary to investigate the operating characteristics of D.C. machinery, circuits and associated apparatus and to compare results with other tests. Students will be required to use skills and knowledge obtained in Direct Current Theory to set up, connect and test D.C. equipment.Hours: 42Credits: 3Pre-Requisites: MATH1895, EECE1140, PHYS2010, EECE1450 or EECE1455CoRequisites: EECE2130"
"24","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE2130","DC Motor/Generator And Control Theory","Description: This course is designed to introduce the student to the theory of operation and control of various DC motors. Various types of generators and motors such as shunt, series and compound are studied with particular attention to load testing, efficiency, speed, winding configuration, and connections. Machine control applications introduce the student to voltage regulation, motor starting techniques and various control devices.Hours: 42Credits: 3Pre-Requisites: EECE1140, MATH1895, PHYS2010CoRequisites: EECE2100"
"25","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE2140","Industrial Power Electronics","Description: This course provides the student with basic troubleshooting techniques for application to industrial power electronic apparatus. The student is given an understanding of the operating principles of a variety of circuits and systems including DC and AC motor drives. The student will also be able to select appropriate test equipment and to locate and repair faults in electronic equipment, components and common systems.Hours: 42Credits: 3Pre-Requisites: EECE1140, EECE1450 or EECE1455CoRequisites:"
"26","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE2200","Introduction to Renewable Energy","Description: This course is intended to introduce the student to photovoltaic and battery technologies."
"27","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","EECE2510","Renewable Energy Practice","Description: The students will learn how to design a solar energy system, by applying necessary calculations to size, solar arrays and batteries required. They will also learn the necessary Code Rules that apply to these installations. Sun charts will be needed to determine battery numbers, total sun hours and proper angles of the system components for a given area. The students will also test Photovoltaic cells by connecting components, meters and loads under artificial and real sun light to determine characteristics, efficiency and fill factors of the cells.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"28","Conestoga College Institute of Technology and Advanced Learning","Energy Systems Engineering Technology - Electrical (Optional Co-op)","https://www.conestogac.on.ca//fulltime/energy-systems-engineering-technology-electrical","ENVR2040","Conservation and Energy Management","Description: This course provides the student with an understanding of energy accounting and economics, energy auditing, lighting systems and building science as it relates to energy balances."
