"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1600","Pronunciation I","Description: This is the first of four courses in pronunciation. In this course, students begin to learn to produce vowel and consonant sounds through identification of articulators and areas of articulation, air pathways, and vibration of vocal cords."
"3","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1610","Reading Comprehension I","Description: This is the first of four courses in reading. Vocabulary building is the major focus in this course. Students also practice scanning for information in a variety of everyday texts. Recognizing basic grammatical sentence elements is also emphasized. Both intensive and extensive reading are encouraged.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1620","Listening and Speaking I","Description: Students learn language functions used in social interaction. Topics such as the use of telephone and banking services are introduced. Discussion centres around clothing, entertainment, and health. Listening exercises improve aural comprehension.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1630","Written Communication Skills I","Description: This is the first of four courses in written communication."
"6","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","Level 2","Level 2",NA
"7","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1640","Pronunciation II","Description: This is the second of four courses in pronunciation."
"8","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1650","Reading Comprehension II","Description: This is the second of four courses in reading. Students continue to work on scanning exercises as well as begin to skim short texts related to topics such as health, education, and entertainment. In this course, students begin to focus on recognizing a variety of reading structures. Students use both top-down and bottom-up processing skills to decode meaning from texts. Vocabulary building continues to be a major focus in this course.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1660","Listening and Speaking II","Description: Students review and continue to learn language functions used in social interaction. Topics such as the use of telephone and banking services are continued. Discussion of emergency procedures, health, entertainment, and education continue. Listening exercises improve aural comprehension, and dictations introduce lecture note-taking skills. Impromptu speeches on a variety of general topics are introduced.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1670","Written Communication Skills II","Description: This is the second of four courses in written communication."
"11","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","LIBS1790","Canadian Perspectives I","Description: This course introduces students to issues relevant to life in Canada. Students will acquire a basic knowledge of geography, history and government as well as the social and cultural aspects of Canada through current print and electronic materials.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","Level 3","Level 3",NA
"13","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1680","Pronunciation III","Description: Specific areas to target are determined through an individual pronunciation analysis. Stress, rhythm, and intonation as features of speech which have great impact on intelligibility are emphasized. Students continue to learn to produce vowels, consonants, and consonant blends through practise and identification of articulators and areas of articulation, air pathways, and vibration of vocal cords. Students are encouraged to listen for their specific pronunciation errors, attempt to self-correct them, and move toward more natural-sounding speech.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1690","Reading Comprehension III","Description: In this course, students develop analytical and comprehension skills through reading and studying texts of intermediate-level complexity. Pre-reading skills as well as study skills such as making graphic organizers, summarizing, and analyzing formatted text are practised within an academic context. The vocabulary component includes recognition and use of context clues, study of common roots and affixes, and building of academic vocabulary.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","English for Academic Studies","https://www.conestogac.on.ca/fulltime/english-for-academic-studies","ELS1700","Listening and Speaking III","Description: In this course, students develop fluency in an interactive environment while participating in discussions/debates based on the content of in-class lectures. Students learn appropriate gambits and communication skills for a variety of social situations. Academic skills such as lecture note-taking and presentation skills are introduced and practised. Students deliver several presentations.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
